isogroup1909_c0_g3	K20818
isogroup18984_c0_g1	K01265
isogroup4624_c0_g1	K24686
isogroup55735_c0_g2	K00600
isogroup41966_c0_g1	K04420
isogroup5713_c0_g1	K23424
isogroup19002_c2_g1	K20125
isogroup40891_c0_g1	K07937
isogroup88892_c0_g1	K01408
isogroup48091_c0_g1	K03104
isogroup5045_c0_g1	K00311
isogroup3392_c2_g2	K08814
isogroup128211_c0_g1	K13140
isogroup26932_c0_g1	K20636
isogroup8359_c0_g1	K10837
isogroup43002_c0_g1	K06275
isogroup57585_c0_g2	K12035
isogroup41316_c0_g2	K22763
isogroup386_c0_g1	K13095
isogroup137124_c0_g1	K03234
isogroup124345_c0_g1	K16588
isogroup28004_c0_g1	K12647
isogroup2240_c0_g1	K15183
isogroup69631_c0_g1	K14209
isogroup370_c0_g2	K16197
isogroup57746_c0_g1	K02908
isogroup33410_c1_g1	K02884
isogroup36178_c0_g1	K18681
isogroup40684_c0_g1	K00469
isogroup1206_c0_g1	K20406
isogroup49354_c0_g1	K14856
isogroup24931_c0_g1	K19787
isogroup1742_c0_g2	K14766
isogroup5799_c0_g1	K12307
isogroup6090_c0_g1	K00797
isogroup8455_c0_g2	K02984
isogroup100104_c0_g1	K06129
isogroup33698_c0_g1	K16760
isogroup152056_c0_g1	K02133
isogroup130682_c0_g1	K01490
isogroup92571_c0_g1	K10693
isogroup42515_c0_g1	K01551
isogroup4_c1_g2	K05991
isogroup30357_c0_g1	K08764
isogroup46107_c1_g3	K10688
isogroup51162_c0_g1	K16449
isogroup40396_c0_g1	K05610
isogroup113465_c0_g1	K16669
isogroup33744_c0_g1	K13199
isogroup29176_c0_g1	K12397
isogroup10219_c1_g1	K24797
isogroup1294_c0_g1	K24927
isogroup23861_c0_g1	K22369
isogroup116294_c0_g1	K13421
isogroup6880_c0_g1	K20358
isogroup173118_c0_g1	K23951
isogroup11041_c0_g1	K12893
isogroup14313_c2_g1	K05643
isogroup7774_c0_g2	K16572
isogroup119239_c0_g1	K01206
isogroup105574_c0_g1	K00789
isogroup10992_c0_g1	K08844
isogroup26807_c0_g2	K23114
isogroup90433_c0_g1	K11716
isogroup67755_c0_g2	K17589
isogroup2368_c0_g1	K22858
isogroup6249_c0_g1	K00949
isogroup153431_c0_g1	K24738
isogroup119512_c0_g1	K20689
isogroup4614_c0_g1	K12655
isogroup24969_c0_g1	K13988
isogroup113427_c0_g1	K19684
isogroup120223_c0_g1	K11269
isogroup57308_c0_g1	K12602
isogroup1641_c0_g2	K23297
isogroup17321_c0_g3	K10343
isogroup22839_c0_g1	K11295
isogroup8180_c0_g1	K01930
isogroup159050_c0_g1	K02370
isogroup1536_c0_g1	K01304
isogroup90987_c0_g1	K15690
isogroup3398_c0_g1	K06672
isogroup5821_c0_g1	K04437
isogroup2263_c0_g1	K14007
isogroup27614_c0_g3	K07374
isogroup44469_c0_g1	K18666
isogroup7225_c0_g2	K00072
isogroup157193_c0_g1	K23730
isogroup18590_c0_g1	K10271
isogroup122441_c0_g1	K05309
isogroup169180_c0_g1	K20193
isogroup33866_c0_g1	K13912
isogroup1739_c0_g1	K11498
isogroup9518_c1_g1	K20184
isogroup1628_c0_g1	K08803
isogroup20898_c0_g1	K19679
isogroup13189_c0_g1	K03029
isogroup168491_c0_g1	K08337
isogroup2109_c0_g5	K19028
isogroup51034_c0_g1	K10593
isogroup7208_c0_g1	K01024
isogroup13785_c0_g1	K16910
isogroup32051_c0_g1	K24553
isogroup12454_c0_g2	K21770
isogroup49035_c0_g1	K20346
isogroup2165_c1_g1	K02835
isogroup8481_c0_g1	K04512
isogroup90179_c0_g1	K13239
isogroup22824_c0_g1	K12396
isogroup34323_c0_g1	K12890
isogroup16316_c0_g1	K04427
isogroup166680_c0_g1	K00383
isogroup4662_c0_g1	K19656
isogroup21126_c0_g1	K16832
isogroup9759_c0_g1	K02991
isogroup6174_c0_g1	K12035
isogroup17890_c0_g1	K11165
isogroup1429_c0_g1	K14163
isogroup79940_c0_g1	K04437
isogroup165950_c0_g1	K01556
isogroup97483_c0_g1	K20185
isogroup49817_c0_g1	K03111
isogroup8594_c0_g2	K12158
isogroup14534_c0_g3	K06689
isogroup64600_c0_g1	K15692
isogroup4334_c0_g1	K10408
isogroup52392_c0_g1	K19001
isogroup15104_c0_g1	K04600
isogroup974_c0_g1	K11968
isogroup52003_c0_g1	K04426
isogroup66152_c0_g1	K03842
isogroup4322_c0_g1	K09407
isogroup30912_c1_g2	K10956
isogroup55175_c0_g1	K03679
isogroup22653_c0_g1	K12890
isogroup80132_c0_g1	K00167
isogroup8609_c0_g2	K02127
isogroup7844_c0_g1	K16344
isogroup16418_c0_g1	K04571
isogroup3415_c1_g1	K12272
isogroup6326_c0_g1	K08789
isogroup163896_c0_g1	K24630
isogroup56332_c0_g1	K12647
isogroup35317_c0_g1	K07767
isogroup20332_c1_g1	K13505
isogroup5767_c0_g1	K10600
isogroup15339_c0_g4	K22371
isogroup29268_c0_g1	K22823
isogroup112037_c0_g1	K15979
isogroup21098_c0_g1	K15686
isogroup50788_c0_g1	K16747
isogroup130453_c0_g1	K17610
isogroup18844_c0_g1	K19882
isogroup156134_c0_g1	K04797
isogroup46160_c0_g1	K09404
isogroup7877_c0_g1	K22125
isogroup148405_c0_g1	K04428
isogroup120132_c0_g1	K03267
isogroup4436_c0_g1	K14415
isogroup15096_c0_g1	K00162
isogroup499_c0_g2	K08010
isogroup14254_c0_g1	K04448
isogroup29118_c0_g2	K14638
isogroup31975_c0_g2	K08042
isogroup89197_c0_g1	K15538
isogroup82192_c0_g1	K01245
isogroup2198_c0_g2	K07838
isogroup4936_c0_g3	K20027
isogroup55684_c0_g1	K12035
isogroup85238_c0_g1	K23637
isogroup6096_c0_g1	K24723
isogroup3529_c0_g1	K11673
isogroup45631_c0_g1	K15109
isogroup19553_c0_g1	K24483
isogroup21825_c0_g1	K13343
isogroup40226_c0_g1	K12471
isogroup10493_c0_g4	K19720
isogroup3605_c0_g1	K13755
isogroup40690_c0_g1	K03626
isogroup10275_c0_g1	K23115
isogroup8607_c0_g1	K10712
isogroup62156_c0_g1	K14165
isogroup1063_c0_g1	K21072
isogroup127343_c0_g1	K24032
isogroup126059_c0_g1	K09363
isogroup16529_c0_g1	K17614
isogroup2029_c0_g1	K16540
isogroup49716_c0_g1	K24743
isogroup6158_c0_g1	K22610
isogroup10549_c0_g2	K05719
isogroup27336_c0_g1	K00128
isogroup155111_c0_g1	K09448
isogroup53710_c0_g1	K17920
isogroup33349_c0_g2	K20241
isogroup8298_c0_g1	K15047
isogroup78266_c0_g1	K23901
isogroup125663_c0_g1	K11674
isogroup4159_c0_g1	K01025
isogroup250_c1_g1	K10380
isogroup48970_c0_g1	K17623
isogroup36650_c0_g1	K12859
isogroup27666_c0_g1	K12194
isogroup42426_c0_g2	K02147
isogroup97418_c0_g1	K15759
isogroup51932_c0_g1	K17382
isogroup167416_c0_g1	K10408
isogroup10742_c0_g1	K06825
isogroup8273_c1_g2	K13174
isogroup30978_c0_g1	K16938
isogroup114166_c0_g1	K02907
isogroup32782_c0_g1	K12386
isogroup52413_c0_g1	K10457
isogroup17593_c0_g1	K17570
isogroup92902_c0_g1	K08730
isogroup7743_c0_g1	K18732
isogroup46611_c0_g1	K14947
isogroup61393_c0_g1	K17592
isogroup117991_c0_g1	K00871
isogroup545_c0_g1	K08139
isogroup58345_c0_g1	K20409
isogroup100541_c0_g1	K14006
isogroup24713_c0_g1	K03033
isogroup37377_c0_g1	K04348
isogroup46574_c0_g1	K21626
isogroup57055_c0_g1	K10454
isogroup6106_c0_g3	K22614
isogroup13949_c0_g1	K24469
isogroup7954_c0_g1	K10251
isogroup11992_c0_g2	K16315
isogroup951_c0_g1	K01365
isogroup3010_c0_g1	K14408
isogroup58239_c0_g1	K17553
isogroup127477_c0_g1	K19413
isogroup3045_c0_g1	K10595
isogroup319_c2_g1	K08803
isogroup170813_c0_g1	K17930
isogroup19302_c0_g1	K06630
isogroup164936_c0_g1	K08637
isogroup31981_c0_g1	K24941
isogroup33448_c0_g1	K13159
isogroup2868_c0_g1	K03032
isogroup31933_c0_g1	K00500
isogroup62770_c0_g1	K16740
isogroup29327_c0_g1	K02876
isogroup96418_c0_g1	K22125
isogroup35742_c0_g1	K16910
isogroup80139_c0_g1	K11804
isogroup15355_c0_g1	K18667
isogroup2653_c0_g3	K09208
isogroup16802_c0_g2	K10361
isogroup6532_c0_g1	K00485
isogroup61612_c0_g1	K09036
isogroup5559_c0_g1	K17341
isogroup26232_c0_g2	K12812
isogroup29582_c0_g2	K19682
isogroup11502_c0_g1	K22282
isogroup5159_c0_g3	K14326
isogroup2670_c0_g1	K12035
isogroup44046_c0_g1	K05681
isogroup1465_c0_g3	K08106
isogroup65264_c0_g1	K14548
isogroup56468_c0_g1	K12316
isogroup5359_c0_g1	K19671
isogroup163893_c0_g1	K17285
isogroup1264_c0_g1	K14157
isogroup10961_c0_g1	K01889
isogroup39778_c0_g1	K12035
isogroup10188_c0_g1	K02938
isogroup19447_c0_g1	K09487
isogroup88233_c0_g1	K01379
isogroup17392_c0_g1	K11098
isogroup9843_c0_g2	K15303
isogroup1558_c0_g2	K03164
isogroup1779_c0_g2	K17267
isogroup28141_c1_g1	K11153
isogroup22499_c0_g1	K15203
isogroup56869_c0_g1	K15720
isogroup17820_c0_g1	K19472
isogroup7595_c0_g3	K02146
isogroup125145_c0_g1	K10279
isogroup42989_c0_g1	K08803
isogroup90639_c0_g1	K05858
isogroup120498_c0_g1	K02871
isogroup90168_c0_g1	K11262
isogroup8961_c0_g1	K12197
isogroup21906_c0_g1	K01697
isogroup3677_c0_g1	K20473
isogroup57651_c0_g1	K15791
isogroup38274_c0_g1	K02736
isogroup867_c0_g1	K04373
isogroup3337_c0_g1	K03861
isogroup11618_c0_g1	K07941
isogroup3821_c0_g1	K14803
isogroup12170_c0_g1	K04739
isogroup52257_c2_g1	K00273
isogroup119028_c0_g1	K12948
isogroup54055_c0_g1	K00693
isogroup7901_c0_g1	K10683
isogroup20140_c1_g1	K16669
isogroup47961_c0_g1	K24909
isogroup65999_c0_g1	K10408
isogroup141038_c0_g1	K06777
isogroup38452_c0_g1	K10268
isogroup417_c0_g1	K22754
isogroup18006_c0_g1	K17341
isogroup35159_c0_g1	K03843
isogroup15108_c0_g5	K08467
isogroup41428_c0_g1	K02892
isogroup49337_c0_g1	K19519
isogroup127335_c0_g1	K14290
isogroup171036_c0_g1	K17290
isogroup92533_c0_g1	K24943
isogroup23062_c0_g1	K01376
isogroup38337_c0_g1	K03936
isogroup140328_c0_g1	K24943
isogroup1815_c0_g1	K21413
isogroup89153_c0_g2	K24759
isogroup69672_c0_g1	K04630
isogroup4038_c0_g3	K11654
isogroup1221_c1_g2	K06126
isogroup24558_c0_g1	K04505
isogroup27254_c0_g1	K07766
isogroup70914_c0_g1	K22182
isogroup11982_c0_g2	K04437
isogroup137963_c0_g1	K01081
isogroup15791_c0_g1	K08367
isogroup1338_c0_g2	K17079
isogroup96814_c0_g1	K10645
isogroup10310_c1_g1	K16075
isogroup66802_c0_g1	K12848
isogroup8960_c1_g2	K11147
isogroup39999_c0_g1	K11279
isogroup75413_c0_g1	K20360
isogroup563_c0_g1	K21847
isogroup293_c0_g1	K15104
isogroup1729_c0_g1	K03627
isogroup10779_c0_g1	K21889
isogroup8377_c0_g3	K23544
isogroup12515_c0_g1	K04536
isogroup12688_c0_g2	K11254
isogroup18442_c0_g1	K16197
isogroup63447_c0_g1	K25164
isogroup30_c0_g1	K07752
isogroup2742_c1_g1	K19948
isogroup531_c0_g1	K01493
isogroup50825_c0_g1	K01598
isogroup10305_c0_g1	K08858
isogroup22970_c0_g1	K05695
isogroup34730_c0_g1	K01895
isogroup2955_c0_g2	K13411
isogroup111502_c0_g1	K11415
isogroup9973_c0_g2	K07375
isogroup164118_c0_g1	K05126
isogroup40311_c1_g2	K00915
isogroup103070_c0_g1	K00626
isogroup118838_c0_g1	K09214
isogroup58859_c0_g1	K20031
isogroup11289_c0_g1	K02941
isogroup10144_c0_g1	K02953
isogroup13069_c0_g1	K03238
isogroup8924_c0_g1	K09624
isogroup16226_c0_g2	K01053
isogroup14367_c0_g1	K01415
isogroup71758_c2_g1	K04727
isogroup7790_c0_g1	K11253
isogroup96725_c0_g1	K13344
isogroup86610_c0_g1	K14026
isogroup38106_c0_g1	K02599
isogroup41892_c0_g1	K01514
isogroup101658_c0_g1	K01758
isogroup38631_c0_g2	K10584
isogroup148292_c0_g1	K24797
isogroup137891_c0_g1	K01408
isogroup50278_c0_g1	K12035
isogroup53649_c0_g1	K14008
isogroup83297_c0_g1	K09848
isogroup2957_c0_g1	K12847
isogroup17882_c1_g3	K22928
isogroup86908_c0_g1	K15014
isogroup2117_c0_g1	K02137
isogroup79731_c0_g1	K07915
isogroup14216_c0_g2	K17550
isogroup67001_c0_g1	K01890
isogroup83494_c0_g2	K18587
isogroup19052_c0_g1	K15106
isogroup10828_c0_g1	K19363
isogroup79237_c0_g1	K09552
isogroup30912_c0_g1	K10956
isogroup394_c0_g2	K00699
isogroup28093_c0_g1	K08816
isogroup42737_c0_g1	K11824
isogroup42121_c0_g1	K16939
isogroup168690_c0_g1	K00311
isogroup17574_c0_g2	K03238
isogroup29244_c0_g1	K00939
isogroup16900_c1_g2	K19863
isogroup76842_c0_g1	K08653
isogroup3842_c0_g1	K18061
isogroup56382_c0_g1	K24228
isogroup101668_c0_g1	K01513
isogroup4924_c0_g1	K24228
isogroup173967_c0_g1	K00922
isogroup90221_c0_g1	K17751
isogroup80117_c0_g1	K24786
isogroup7990_c0_g1	K00994
isogroup50764_c0_g1	K12619
isogroup154348_c0_g1	K01134
isogroup35015_c0_g1	K09407
isogroup47040_c0_g1	K08465
isogroup3936_c0_g1	K24685
isogroup49079_c0_g1	K17512
isogroup3973_c0_g1	K00671
isogroup113938_c0_g1	K04560
isogroup32436_c0_g1	K09848
isogroup42857_c0_g1	K12898
isogroup38705_c0_g1	K06238
isogroup122820_c0_g1	K09583
isogroup70575_c0_g1	K00417
isogroup28644_c0_g1	K03255
isogroup5352_c1_g1	K00721
isogroup80241_c0_g1	K03016
isogroup13663_c0_g1	K07901
isogroup54112_c0_g1	K13708
isogroup1774_c0_g1	K24536
isogroup127362_c0_g1	K18055
isogroup17944_c0_g3	K23209
isogroup15247_c0_g1	K08334
isogroup152131_c0_g1	K19514
isogroup33900_c0_g1	K08489
isogroup52166_c0_g1	K01359
isogroup44023_c0_g1	K09048
isogroup84080_c0_g1	K07304
isogroup2212_c0_g1	K04354
isogroup30003_c0_g1	K07944
isogroup26628_c0_g2	K07517
isogroup15801_c0_g1	K07904
isogroup166362_c0_g1	K01969
isogroup31760_c0_g1	K01273
isogroup5475_c0_g1	K07209
isogroup71478_c0_g1	K02915
isogroup13764_c0_g2	K03247
isogroup112254_c0_g1	K22825
isogroup111776_c0_g1	K01867
isogroup1980_c0_g2	K12389
isogroup16658_c0_g3	K11838
isogroup9619_c0_g1	K19465
isogroup19599_c0_g1	K05754
isogroup4183_c0_g2	K08467
isogroup23948_c1_g2	K02936
isogroup25887_c0_g1	K08803
isogroup7349_c0_g1	K23424
isogroup136635_c0_g1	K17408
isogroup170225_c0_g1	K03016
isogroup58330_c0_g1	K11824
isogroup7058_c0_g1	K17279
isogroup64266_c0_g1	K17591
isogroup1721_c0_g2	K11501
isogroup12707_c0_g2	K10418
isogroup2136_c0_g1	K22754
isogroup4496_c0_g1	K08874
isogroup18073_c0_g1	K08765
isogroup2463_c0_g1	K20405
isogroup89098_c0_g1	K20363
isogroup3059_c0_g1	K23336
isogroup7689_c0_g1	K00031
isogroup4358_c0_g1	K12035
isogroup6069_c0_g2	K05700
isogroup41722_c0_g1	K00844
isogroup49659_c0_g1	K08515
isogroup2219_c0_g1	K13912
isogroup1298_c0_g1	K00827
isogroup165563_c0_g1	K02984
isogroup148196_c0_g1	K03008
isogroup3702_c0_g1	K12881
isogroup44150_c0_g1	K12196
isogroup4168_c0_g1	K19332
isogroup9473_c0_g1	K19995
isogroup17545_c0_g4	K01081
isogroup27831_c0_g1	K21548
isogroup163409_c0_g1	K02936
isogroup22270_c0_g1	K05695
isogroup9769_c0_g1	K07827
isogroup805_c0_g3	K07178
isogroup11371_c0_g2	K08465
isogroup6223_c0_g1	K17260
isogroup103120_c0_g1	K10645
isogroup19405_c0_g1	K18629
isogroup58253_c0_g1	K05011
isogroup165273_c0_g1	K09350
isogroup4159_c1_g2	K01025
isogroup52244_c0_g1	K05665
isogroup8540_c1_g1	K00181
isogroup32102_c1_g1	K15423
isogroup2844_c0_g1	K03174
isogroup12004_c0_g1	K02830
isogroup150302_c0_g1	K04364
isogroup111808_c0_g1	K08220
isogroup1677_c0_g1	K06027
isogroup34036_c0_g2	K06224
isogroup40607_c0_g1	K12399
isogroup61721_c0_g1	K01444
isogroup94032_c0_g1	K17598
isogroup11628_c0_g2	K07374
isogroup11343_c0_g3	K12655
isogroup13144_c0_g1	K25129
isogroup169742_c0_g1	K23407
isogroup10367_c0_g1	K03260
isogroup150168_c0_g1	K20471
isogroup55305_c0_g1	K10612
isogroup65415_c0_g1	K23029
isogroup26575_c0_g2	K00613
isogroup41991_c0_g1	K13210
isogroup12843_c0_g1	K05700
isogroup115509_c0_g1	K12854
isogroup163498_c0_g1	K00106
isogroup52551_c0_g1	K14427
isogroup75316_c0_g1	K05236
isogroup22511_c0_g1	K12877
isogroup51549_c0_g1	K10147
isogroup19401_c0_g1	K15370
isogroup1290_c0_g1	K12191
isogroup40167_c0_g1	K25058
isogroup26178_c0_g1	K12567
isogroup90207_c0_g1	K10424
isogroup6510_c0_g2	K14794
isogroup2168_c0_g1	K16669
isogroup19999_c0_g2	K08736
isogroup51303_c0_g1	K01805
isogroup27370_c0_g1	K24932
isogroup81213_c0_g1	K01415
isogroup168830_c0_g1	K10735
isogroup19008_c0_g3	K17867
isogroup80647_c0_g1	K22562
isogroup44522_c0_g1	K01873
isogroup156665_c0_g1	K15076
isogroup76115_c0_g1	K16667
isogroup55887_c0_g1	K07880
isogroup5185_c0_g4	K06070
isogroup9020_c0_g1	K18441
isogroup7369_c0_g1	K10576
isogroup21864_c0_g1	K10747
isogroup4540_c0_g3	K10416
isogroup67322_c0_g1	K05128
isogroup2804_c0_g1	K14763
isogroup14301_c0_g2	K12035
isogroup2470_c0_g1	K05970
isogroup125227_c0_g1	K03137
isogroup7261_c0_g1	K05692
isogroup12206_c0_g3	K24469
isogroup121570_c0_g1	K17592
isogroup26488_c0_g1	K05108
isogroup5402_c0_g1	K06777
isogroup12207_c0_g1	K16197
isogroup65497_c0_g1	K12232
isogroup768_c0_g2	K02136
isogroup16101_c0_g1	K10884
isogroup124882_c0_g1	K08823
isogroup1631_c0_g1	K10405
isogroup21127_c0_g1	K02979
isogroup35147_c0_g1	K22614
isogroup173895_c0_g1	K23680
isogroup128302_c0_g1	K11088
isogroup41102_c0_g1	K03946
isogroup1477_c0_g1	K15732
isogroup26151_c0_g3	K02738
isogroup152462_c0_g1	K00069
isogroup13989_c0_g1	K02985
isogroup2146_c1_g1	K21456
isogroup2911_c1_g2	K05129
isogroup150062_c0_g1	K17785
isogroup44729_c0_g1	K12478
isogroup4059_c0_g1	K10356
isogroup78951_c0_g1	K05126
isogroup138094_c0_g1	K03462
isogroup160894_c0_g1	K13353
isogroup10515_c0_g1	K25165
isogroup77386_c0_g1	K10249
isogroup168321_c0_g1	K02133
isogroup4829_c0_g3	K02981
isogroup74102_c0_g1	K07298
isogroup29241_c4_g1	K00505
isogroup51324_c0_g1	K12035
isogroup1629_c0_g3	K10839
isogroup68835_c0_g1	K03320
isogroup113381_c0_g1	K00922
isogroup5014_c0_g1	K18932
isogroup46368_c0_g1	K19583
isogroup97912_c0_g1	K03267
isogroup19338_c0_g3	K01689
isogroup2710_c0_g1	K11262
isogroup29108_c0_g1	K16779
isogroup2968_c1_g1	K05643
isogroup55224_c0_g1	K05402
isogroup19000_c0_g1	K08776
isogroup6159_c0_g2	K03127
isogroup166208_c0_g1	K02988
isogroup136520_c0_g1	K23424
isogroup4054_c0_g2	K16669
isogroup54984_c0_g1	K13120
isogroup90770_c0_g1	K10350
isogroup26192_c0_g1	K15324
isogroup4985_c0_g1	K12385
isogroup28035_c0_g1	K01639
isogroup80227_c0_g1	K18628
isogroup57239_c0_g1	K15172
isogroup5934_c0_g1	K14852
isogroup18326_c0_g3	K16669
isogroup4190_c0_g1	K12821
isogroup168276_c0_g1	K03262
isogroup78332_c0_g1	K23624
isogroup1614_c0_g1	K03364
isogroup114817_c0_g1	K10738
isogroup67232_c0_g1	K23820
isogroup30044_c0_g1	K12393
isogroup7709_c0_g1	K11153
isogroup40997_c0_g1	K11969
isogroup15609_c0_g1	K09048
isogroup2170_c0_g2	K24633
isogroup4945_c0_g1	K02542
isogroup957_c1_g1	K04237
isogroup55197_c0_g1	K18269
isogroup35483_c0_g1	K14206
isogroup14341_c0_g1	K03462
isogroup158557_c0_g1	K11493
isogroup22991_c0_g1	K09207
isogroup99859_c0_g1	K19530
isogroup16025_c0_g1	K04468
isogroup94622_c0_g1	K08654
isogroup58051_c0_g1	K07556
isogroup90442_c0_g1	K05750
isogroup49709_c0_g1	K19757
isogroup13851_c0_g1	K17920
isogroup34389_c0_g1	K01892
isogroup148753_c0_g1	K24637
isogroup49880_c0_g1	K24936
isogroup94427_c0_g1	K13523
isogroup6270_c0_g1	K09848
isogroup69205_c0_g1	K18442
isogroup151668_c0_g1	K14303
isogroup28543_c0_g1	K12863
isogroup53782_c0_g1	K16914
isogroup4238_c0_g2	K10799
isogroup16682_c0_g3	K22647
isogroup10513_c0_g2	K11967
isogroup21103_c0_g1	K22824
isogroup137889_c0_g1	K12035
isogroup34486_c0_g2	K08585
isogroup2375_c0_g1	K21971
isogroup8063_c0_g2	K03233
isogroup34003_c0_g1	K02257
isogroup1266_c0_g1	K03234
isogroup3468_c0_g1	K22653
isogroup2552_c0_g1	K20053
isogroup1482_c1_g1	K09662
isogroup154551_c0_g1	K08770
isogroup9727_c0_g2	K02140
isogroup92869_c0_g1	K17989
isogroup6973_c0_g1	K23791
isogroup16313_c0_g1	K01800
isogroup2558_c0_g1	K13758
isogroup7994_c0_g1	K05117
isogroup88768_c0_g1	K23691
isogroup6553_c0_g1	K18533
isogroup41450_c0_g1	K03028
isogroup28560_c1_g1	K15437
isogroup1003_c0_g1	K04615
isogroup45136_c0_g1	K13145
isogroup95175_c0_g1	K12470
isogroup80455_c0_g1	K07870
isogroup26220_c0_g1	K12829
isogroup5781_c0_g1	K08507
isogroup72438_c0_g1	K09848
isogroup128113_c0_g1	K00797
isogroup105424_c0_g1	K11404
isogroup138165_c0_g1	K21125
isogroup4301_c1_g1	K12035
isogroup35728_c0_g1	K16669
isogroup4791_c0_g1	K00757
isogroup7190_c0_g1	K02981
isogroup852_c0_g1	K11416
isogroup167656_c0_g1	K24814
isogroup1761_c0_g1	K01874
isogroup15624_c0_g3	K01783
isogroup35520_c0_g1	K17339
isogroup38708_c0_g1	K17592
isogroup50720_c0_g1	K08507
isogroup53086_c0_g1	K18032
isogroup889_c0_g1	K16669
isogroup92019_c0_g1	K12404
isogroup99615_c0_g1	K08576
isogroup54874_c0_g1	K08106
isogroup35877_c0_g2	K07752
isogroup130113_c0_g1	K14568
isogroup52876_c0_g1	K17419
isogroup5219_c0_g2	K13912
isogroup30359_c0_g2	K07903
isogroup23620_c0_g3	K03039
isogroup15560_c0_g1	K20796
isogroup128613_c0_g1	K18470
isogroup16877_c0_g1	K01373
isogroup12915_c0_g1	K11093
isogroup10707_c0_g1	K18764
isogroup52850_c0_g1	K10579
isogroup14656_c0_g1	K10364
isogroup65270_c0_g1	K17501
isogroup8552_c0_g1	K01892
isogroup13013_c0_g2	K01540
isogroup5110_c0_g2	K16742
isogroup2602_c0_g1	K00626
isogroup69698_c0_g1	K03174
isogroup1542_c0_g2	K19868
isogroup34722_c0_g1	K04438
isogroup33769_c0_g2	K11251
isogroup37291_c0_g1	K04362
isogroup16996_c0_g1	K09537
isogroup58174_c0_g1	K19177
isogroup4916_c0_g1	K22862
isogroup9252_c0_g1	K14443
isogroup143218_c0_g1	K20177
isogroup3313_c0_g1	K14566
isogroup86357_c0_g1	K20123
isogroup12239_c0_g4	K09848
isogroup5443_c0_g1	K21878
isogroup18832_c0_g1	K12198
isogroup36981_c1_g1	K03252
isogroup4365_c0_g1	K19269
isogroup71965_c0_g1	K07759
isogroup50916_c0_g1	K00901
isogroup66041_c0_g1	K09602
isogroup6308_c0_g6	K04615
isogroup3186_c0_g1	K02866
isogroup25001_c0_g1	K04097
isogroup117173_c0_g1	K03021
isogroup163537_c0_g1	K07933
isogroup44953_c0_g1	K14165
isogroup20773_c0_g1	K12176
isogroup62273_c0_g1	K05917
isogroup513_c0_g1	K05730
isogroup114580_c0_g1	K02608
isogroup655_c0_g2	K08601
isogroup20803_c0_g1	K23820
isogroup114067_c0_g1	K22156
isogroup1105_c0_g1	K00010
isogroup10655_c0_g1	K16726
isogroup175108_c0_g1	K05673
isogroup8857_c0_g1	K16796
isogroup15809_c0_g1	K08770
isogroup3013_c0_g1	K05643
isogroup40750_c0_g1	K22390
isogroup9018_c0_g1	K11252
isogroup164048_c0_g1	K06094
isogroup5032_c0_g1	K14572
isogroup9022_c0_g1	K01365
isogroup14724_c0_g1	K00717
isogroup24699_c0_g1	K12309
isogroup93485_c0_g1	K08495
isogroup3687_c2_g4	K16726
isogroup55030_c0_g1	K00078
isogroup14146_c0_g1	K04349
isogroup3785_c3_g1	K15044
isogroup47468_c0_g1	K00650
isogroup1945_c0_g1	K05330
isogroup14543_c0_g1	K14398
isogroup159633_c0_g1	K15045
isogroup27403_c0_g2	K18436
isogroup3048_c0_g1	K01254
isogroup5668_c0_g1	K18407
isogroup9817_c0_g1	K01803
isogroup4416_c0_g2	K02998
isogroup124858_c0_g1	K12301
isogroup43997_c0_g1	K13809
isogroup90040_c0_g1	K07870
isogroup23769_c0_g1	K01520
isogroup7766_c0_g1	K09549
isogroup6628_c0_g1	K16196
isogroup59704_c0_g1	K22827
isogroup106997_c0_g1	K16478
isogroup86147_c0_g1	K08803
isogroup91046_c0_g1	K08803
isogroup159001_c0_g1	K19759
isogroup139729_c0_g1	K04533
isogroup6391_c0_g1	K11257
isogroup2135_c0_g1	K15261
isogroup2232_c0_g1	K22614
isogroup5065_c0_g1	K06619
isogroup6801_c1_g1	K21848
isogroup695_c1_g1	K01369
isogroup9997_c0_g1	K00799
isogroup106289_c0_g1	K05012
isogroup17281_c0_g1	K13126
isogroup9777_c0_g1	K22072
isogroup70470_c0_g1	K11344
isogroup36188_c0_g1	K18441
isogroup7244_c0_g3	K22125
isogroup4721_c0_g1	K24023
isogroup20718_c0_g1	K14009
isogroup81281_c0_g1	K08789
isogroup25990_c0_g1	K15603
isogroup3447_c0_g2	K18728
isogroup43745_c0_g1	K03456
isogroup38891_c0_g1	K14004
isogroup13718_c0_g1	K00861
isogroup15222_c1_g1	K02729
isogroup9538_c1_g5	K05124
isogroup4117_c0_g1	K23282
isogroup3816_c0_g1	K07207
isogroup176279_c0_g1	K08336
isogroup47068_c0_g1	K14798
isogroup167819_c0_g1	K07204
isogroup33528_c0_g2	K00079
isogroup164441_c0_g1	K07208
isogroup88117_c0_g1	K04958
isogroup63602_c0_g1	K16353
isogroup19126_c0_g1	K07232
isogroup44078_c0_g1	K15621
isogroup2780_c0_g1	K12878
isogroup56228_c0_g2	K10408
isogroup126732_c0_g1	K12076
isogroup69742_c0_g1	K10575
isogroup33934_c0_g1	K22754
isogroup4528_c1_g1	K11248
isogroup42191_c0_g1	K24094
isogroup50453_c0_g1	K05948
isogroup31530_c0_g1	K17233
