isogroup66386_c0_g1	 Ragulator complex protein LAMTOR5
isogroup43950_c0_g1	SDHAF2 protein-FAD linkage
isogroup43944_c0_g1	FAR2 alcohol-forming fatty acyl-CoA reductase activity
isogroup43900_c0_g1	GPR64 G-protein-coupled receptor proteolytic site domain
isogroup43936_c0_g1	PDPK1 3-phosphoinositide-dependent protein kinase activity
isogroup43999_c0_g1	AMACR alpha-methylacyl-CoA racemase activity
isogroup43993_c0_g1	TTC3 protein K48-linked ubiquitination
isogroup43979_c0_g1	 clathrin-dependent endocytosis
isogroup43984_c0_g1	MIOX inositol oxygenase activity
isogroup43918_c0_g1	RABGGTB Prenyltransferase
isogroup43991_c0_g1	AIFM1 cellular response to aldosterone
isogroup43989_c0_g1	RNF165 Ring finger protein
isogroup43965_c0_g1	 GTPase activator activity. It is involved in the biological process described with regulation of small GTPase mediated signal transduction
isogroup43917_c0_g1	RBM15B dosage compensation by inactivation of X chromosome
isogroup43975_c0_g1	COQ9 Ubiquinone biosynthesis protein COQ9
isogroup43912_c0_g1	ALK Tyrosine kinase
isogroup43961_c0_g1	 IgGFc binding protein
isogroup50278_c0_g1	TRIM71 miRNA binding
isogroup50291_c0_g1	SSR2 cotranslational protein targeting to membrane
isogroup50205_c0_g1	 telomerase activity
isogroup50268_c0_g1	LARP6 La ribonucleoprotein domain family member 6
isogroup50238_c0_g1	SamDC Adenosylmethionine decarboxylase
isogroup50250_c1_g1	ACSBG1 medium-chain fatty acid-CoA ligase activity
isogroup50250_c0_g1	ACSBG2 acyl-CoA synthetase bubblegum family member 2
isogroup50261_c0_g1	POGLUT1 UDP-xylosyltransferase activity
isogroup50256_c0_g1	 rRNA (uridine-2'-O-)-methyltransferase activity
isogroup50209_c0_g1	GHITM apoptotic process
isogroup46504_c0_g1	MAP3K2 mitogen-activated protein kinase kinase kinase 2
isogroup46574_c0_g1	ZNFX1 zinc ion binding
isogroup46560_c0_g1	rdgBbeta phosphatidylinositol transporter activity
isogroup46552_c0_g1	SPG21 CD4 receptor binding
isogroup46580_c0_g1	CCDC132 Coiled-coil domain containing 132
isogroup46547_c0_g1	GABA-B-R2 7 transmembrane sweet-taste receptor of 3 GCPR
isogroup46513_c0_g1	BIN3 cell septum assembly
isogroup46533_c0_g1	 Protein phosphatase 1 regulatory subunit
isogroup46534_c0_g1	CHMP2B Charged multivesicular body protein
isogroup46522_c0_g1	 K02A2.6-like
isogroup46599_c0_g1	MCM4 DNA replication initiation
isogroup46567_c0_g1	UNK polysome binding
isogroup46588_c0_g1	 gamma-aminobutyric acid type B receptor subunit
isogroup46592_c0_g2	 Guanylate kinase
isogroup46538_c0_g1	SLC29A1 Equilibrative nucleoside transporter
isogroup46545_c0_g1	 Meningioma expressed antigen 5 (hyaluronidase)
isogroup46519_c0_g1	 ATPase activity, coupled to transmembrane movement of substances
isogroup79051_c0_g1	 SH3 domain-binding protein 2
isogroup79039_c0_g1	 regulation of mitotic cell cycle
isogroup79023_c0_g1	KSR1 kinase suppressor of Ras
isogroup79055_c0_g1	UBA5 UFM1 activating enzyme activity
isogroup79013_c0_g1	RpS4 RS4NT (NUC023) domain
isogroup79095_c0_g1	 Sigma factor PP2C-like phosphatases
isogroup79061_c0_g1	UBE2W protein modification by small protein conjugation
isogroup85216_c0_g1	TTF2 transcription termination factor
isogroup85236_c0_g1	ANKZF1 mitochondria-associated ubiquitin-dependent protein catabolic process
isogroup85238_c0_g1	 serine-type endopeptidase inhibitor activity
isogroup85224_c0_g1	SLU7 SLU7 splicing factor homolog (S. cerevisiae)
isogroup55921_c0_g1	CCDC25 Coiled-coil domain containing 25
isogroup55911_c0_g1	 Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
isogroup55991_c0_g1	LRRK2 protein ubiquitination
isogroup55928_c0_g1	WDR19 myotome development
isogroup55945_c0_g1	HSD17B12 3-oxo-lignoceroyl-CoA reductase activity
isogroup55963_c0_g1	aret RNA recognition motif
isogroup55959_c1_g1	 DNA integration
isogroup55968_c0_g1	SSR1 cotranslational protein targeting to membrane
isogroup55922_c0_g1	 ATP binding
isogroup24831_c0_g1	TLDC1 negative regulation of oxidative stress-induced neuron death
isogroup24851_c0_g1	RNF185 cAMP binding
isogroup24863_c1_g1	PSD2 regulation of ARF protein signal transduction
isogroup24890_c0_g1	 Deleted in malignant brain tumors 1
isogroup24890_c0_g2	 lectin, galactoside-binding, soluble, 3 binding protein
isogroup24890_c0_g3	PRSS12 scavenger receptor activity
isogroup24807_c0_g1	C6orf120 Chromosome 6 open reading frame 120
isogroup24807_c0_g2	C6orf120 Chromosome 6 open reading frame 120
isogroup24871_c0_g2	IFI30 antigen processing and presentation of exogenous peptide antigen via MHC class I
isogroup24873_c0_g1	coro1c Belongs to the WD repeat coronin family
isogroup24852_c1_g2	USP15 Belongs to the peptidase C19 family
isogroup24840_c0_g1	NUDCD3 protein localization to pericentriolar material
isogroup24818_c0_g2	DDX4 piRNA biosynthetic process
isogroup24887_c0_g1	G3BP2 stress granule assembly
isogroup24855_c0_g1	 protein propionyltransferase activity
isogroup24802_c0_g1	MKKS McKusick-Kaufman Bardet-Biedl syndromes
isogroup24805_c0_g1	SAP30BP SAP30 binding protein
isogroup29907_c0_g1	C1orf228 
isogroup29950_c0_g1	HSPA4L heat shock
isogroup29949_c0_g1	GPATCH1 G patch domain-containing protein
isogroup29910_c0_g1	 cyclic nucleotide-gated ion channel activity
isogroup29925_c0_g1	PPT1 positive regulation of pinocytosis
isogroup29970_c0_g1	KDELR2 ER retention sequence binding
isogroup29917_c0_g1	KARS lysyl-tRNA synthetase
isogroup29973_c0_g1	PSMC6 Belongs to the AAA ATPase family
isogroup29956_c0_g1	NDUFA2 mitochondrial respiratory chain complex I assembly
isogroup29934_c0_g1	DDX17 pri-miRNA transcription by RNA polymerase II
isogroup29968_c0_g2	 regulation of apoptotic process
isogroup29940_c0_g1	pgp-2 ATP-binding cassette, subfamily B (MDR TAP), member
isogroup29912_c3_g1	Mfap1 Microfibril-associated/Pre-mRNA processing
isogroup29912_c2_g1	Mfap1 Microfibrillar-associated protein
isogroup29912_c0_g1	 gamma-aminobutyric acid type B receptor subunit
isogroup29906_c0_g1	IFT22 intraflagellar transport
isogroup15696_c0_g1	ZC3H12A zinc finger CCCH-type containing 12A
isogroup15680_c0_g1	HDLBP RNA binding
isogroup15666_c1_g1	KIAA1751 axoneme assembly
isogroup15630_c0_g1	 heterogeneous nuclear ribonucleoprotein
isogroup15604_c0_g1	QDPR 6,7-dihydropteridine reductase activity
isogroup15656_c0_g1	DUSP6 MAP kinase tyrosine/serine/threonine phosphatase activity
isogroup15626_c0_g2	 Carboxypeptidase
isogroup15624_c0_g1	RPE ribulose-phosphate 3-epimerase activity
isogroup15624_c0_g2	 transposition, RNA-mediated
isogroup15624_c0_g3	RPE ribulose-phosphate 3-epimerase activity
isogroup15691_c0_g2	 Belongs to the G-protein coupled receptor 2 family
isogroup15615_c0_g1	 Belongs to the WD repeat coronin family
isogroup15675_c0_g1	 Diacylglycerol kinase
isogroup15639_c0_g4	 Filamin C, gamma
isogroup15639_c0_g1	 Filamin C, gamma
isogroup15651_c0_g1	 response to cobalt ion
isogroup15686_c0_g1	 Glutathione S-transferase, C-terminal domain
isogroup15683_c0_g1	 Astacin (Peptidase family M12A)
isogroup15683_c0_g2	 Astacin (Peptidase family M12A)
isogroup15611_c0_g1	 regulation of fibroblast apoptotic process
isogroup15601_c0_g1	aPKC Protein kinase C iota
isogroup15614_c0_g1	 high mobility group
isogroup15643_c0_g1	SMAD3 Mothers against decapentaplegic homolog
isogroup15612_c0_g1	 protein serine/threonine phosphatase activity
isogroup15648_c0_g1	 Sushi, von Willebrand factor type A, EGF and pentraxin
isogroup15648_c0_g2	fw eel-Fucolectin Tachylectin-4 Pentaxrin-1 Domain
isogroup15661_c0_g1	 optic chiasma development
isogroup15605_c0_g1	CTSA serine-type carboxypeptidase activity
isogroup15672_c0_g1	CYFIP1 positive regulation of neurotrophin TRK receptor signaling pathway
isogroup15682_c1_g1	 DDE superfamily endonuclease
isogroup15644_c0_g1	 activation of NF-kappaB-inducing kinase activity
isogroup15644_c0_g2	 activation of NF-kappaB-inducing kinase activity
isogroup15677_c1_g3	gcy-31 Belongs to the adenylyl cyclase class-4 guanylyl cyclase family
isogroup15677_c1_g2	gcy-31 Belongs to the adenylyl cyclase class-4 guanylyl cyclase family
isogroup15677_c1_g1	gcy-31 Belongs to the adenylyl cyclase class-4 guanylyl cyclase family
isogroup15645_c0_g1	 actin filament capping
isogroup15606_c0_g1	 Cofilin/tropomyosin-type actin-binding protein
isogroup15623_c0_g1	OGFOD1 2-oxoglutarate and iron-dependent oxygenase
isogroup15609_c0_g1	CREB3L2 cAMP response element binding
isogroup15659_c0_g1	RRNAD1 Ribosomal RNA adenine dimethylase domain containing 1
isogroup15619_c0_g1	 EGF domain
isogroup15633_c0_g1	PDIA3 protein disulfide isomerase activity
isogroup15673_c0_g1	ATP5D proton-transporting ATP synthase activity, rotational mechanism
isogroup15647_c0_g2	CAPRIN1 cell cycle associated protein
isogroup15679_c0_g1	CDK5 kinase 5
isogroup2899_c0_g1	 L-threonine 3-dehydrogenase
isogroup2899_c0_g3	RPIA ribose-5-phosphate isomerase activity
isogroup2824_c1_g2	RMDN3 Regulator of microtubule dynamics
isogroup2824_c0_g1	XRN2 5'-3' exoribonuclease 2
isogroup2823_c0_g1	GATM Glycine amidinotransferase (L-arginine glycine amidinotransferase)
isogroup2820_c0_g1	PXMP2 Mpv17 / PMP22 family
isogroup2820_c1_g1	FAM227A Protein of unknown function
isogroup2841_c0_g1	PROSC pyridoxal phosphate binding
isogroup2842_c0_g1	MLX Max-like protein X
isogroup2867_c0_g1	ASF1B ASF1 anti-silencing function 1 homolog Ba (S. cerevisiae)
isogroup2867_c1_g2	HDAC2 Belongs to the histone deacetylase family. HD Type 1 subfamily
isogroup2898_c0_g1	 Tetratricopeptide repeat
isogroup2892_c0_g1	NUBP2 iron-sulfur cluster assembly
isogroup2862_c0_g1	TPP1 tripeptidyl-peptidase activity
isogroup2853_c0_g1	RAB35 plasma membrane to endosome transport
isogroup2853_c0_g2	RAB35 plasma membrane to endosome transport
isogroup2853_c0_g3	RAB35 plasma membrane to endosome transport
isogroup2853_c1_g1	RAB30 RAB30, member RAS oncogene family
isogroup2808_c0_g1	NET1 Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
isogroup2822_c0_g1	GCAT Cys/Met metabolism PLP-dependent enzyme
isogroup2810_c0_g1	USP10 Belongs to the peptidase C19 family
isogroup2821_c0_g1	TRAF3 thioesterase binding
isogroup2821_c0_g2	AIPL1 farnesylated protein binding
isogroup2821_c0_g3	rpm-1 regulation of axon guidance
isogroup2821_c1_g1	HACE1 HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1
isogroup2821_c2_g1	CYB5R3 cytochrome-b5 reductase activity, acting on NAD(P)H
isogroup2887_c0_g1	C1QBP Complement component 1 q
isogroup2800_c2_g1	 Tyrosine kinase, catalytic domain
isogroup2800_c0_g1	PDZD8 mitochondrion-endoplasmic reticulum membrane tethering
isogroup2800_c0_g2	PDZD8 mitochondrion-endoplasmic reticulum membrane tethering
isogroup2854_c0_g1	 piggyBac transposable element-derived protein
isogroup2811_c0_g2	RBM5 RNA binding motif protein
isogroup2840_c1_g1	STRA13 Centromere protein X
isogroup2882_c1_g1	CMC1 COX assembly mitochondrial protein
isogroup2882_c0_g1	CDase Neutral ceramidase
isogroup2802_c0_g1	CHST14 Carbohydrate sulfotransferase
isogroup2835_c0_g1	 Reverse transcriptase (RNA-dependent DNA polymerase)
isogroup2888_c0_g1	NADSYN1 belongs to the NAD synthetase family
isogroup2857_c0_g1	C12orf10 locomotory exploration behavior
isogroup2829_c0_g1	UHRF1 Ubiquitin-like with PHD and ring finger domains 1
isogroup2863_c1_g1	SAE1 enzyme subunit 1
isogroup2863_c0_g2	DDX51 Belongs to the DEAD box helicase family
isogroup2863_c0_g3	PI4KB Belongs to the PI3 PI4-kinase family
isogroup2806_c0_g2	SOCS6 suppressor of cytokine signaling
isogroup2881_c0_g4	 Oxidoreductase activity. It is involved in the biological process described with metabolic process
isogroup2881_c0_g3	HSDL2 Hydroxysteroid dehydrogenase-like protein
isogroup2830_c0_g2	CNTN4 Contactin 4
isogroup2804_c0_g1	NAF1 pseudouridine synthesis
isogroup2873_c0_g1	RPL31 structural constituent of ribosome
isogroup2813_c0_g1	PEX10 cAMP binding
isogroup2896_c0_g1	CCDC50 Coiled-coil domain containing 50
isogroup2893_c0_g1	PRRC2C Proline-rich coiled-coil
isogroup2836_c0_g1	DYSF plasma membrane repair
isogroup2839_c0_g2	 G-protein coupled receptor activity
isogroup2879_c0_g2	 Acetylgalactosaminyltransferase activity
isogroup2856_c0_g2	 Deleted in malignant brain tumors 1
isogroup2832_c1_g1	DPF1 Zinc finger protein neuro-d4
isogroup2832_c0_g1	MOCS1 GTP 3',8'-cyclase activity
isogroup2884_c0_g1	KLHL20 protein K33-linked ubiquitination
isogroup2884_c0_g2	ANKRD45 ankyrin repeats
isogroup2884_c0_g3	ANKRD45 ankyrin repeat
isogroup2826_c0_g1	KAZN keratinization
isogroup2874_c0_g1	RNF146 poly-ADP-D-ribose binding
isogroup2895_c0_g3	 RUN domain
isogroup2837_c0_g1	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity
isogroup2837_c0_g2	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity
isogroup2872_c0_g1	MAP1LC3A cellular response to nitrogen levels
isogroup2850_c0_g1	P4HB Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide
isogroup2850_c0_g2	BBS1 Bardet-Biedl syndrome 1
isogroup2850_c0_g3	P4HB protein disulfide isomerase activity
isogroup2850_c2_g1	GTF3C1 general transcription factor
isogroup2852_c0_g1	SMPD4 sphingomyelin phosphodiesterase D activity
isogroup2833_c1_g1	WDR25 WD40 repeats
isogroup2844_c0_g1	 thioesterase binding
isogroup2816_c0_g1	CYCS electron transfer activity
isogroup2812_c0_g4	CAMK1 calmodulin-dependent protein kinase activity
isogroup2812_c0_g1	CAMK1 calmodulin-dependent protein kinase activity
isogroup2812_c0_g2	CAMK1 calmodulin-dependent protein kinase activity
isogroup2801_c0_g1	ACAD8 dehydrogenase family, member 8
isogroup2801_c0_g3	TSPAN17 positive regulation of Notch signaling pathway
isogroup2828_c0_g1	FURIN Furin (paired basic amino acid cleaving enzyme) a
isogroup2828_c0_g2	 positive regulation of smooth muscle cell-matrix adhesion
isogroup2861_c0_g1	mRpS24 Mitochondrial ribosome subunit S24
isogroup2864_c0_g1	 Alcohol dehydrogenase GroES-like domain
isogroup2846_c0_g1	MVP regulation of signaling
isogroup2877_c0_g2	 Mannosidase, beta A, lysosomal
isogroup2814_c0_g1	 protein serine threonine kinase activity. It is involved in the biological process described with
isogroup2838_c0_g1	C6orf106 Chromosome 6 open reading frame 106
isogroup2869_c0_g1	ANKRD13C ankyrin repeat
isogroup2831_c1_g1	 URB1 ribosome biogenesis 1 homolog (S. cerevisiae)
isogroup2849_c0_g2	MRRF Mitochondrial ribosome recycling factor
isogroup2885_c0_g1	LIN9 Lin-9 DREAM MuvB core complex component
isogroup2848_c0_g1	PLGRKT positive regulation of plasminogen activation
isogroup2848_c0_g2	PLGRKT positive regulation of plasminogen activation
isogroup2868_c0_g1	 regulation of protein catabolic process
isogroup2894_c0_g1	IQCE IQ motif containing E
isogroup96165_c0_g1	 Xylose isomerase
isogroup96117_c0_g1	VKORC1 Vitamin K epoxide reductase complex, subunit
isogroup96121_c0_g1	 16-hydroxypalmitate dehydrogenase activity
isogroup96113_c0_g1	TMBIM4 regulation of calcium-mediated signaling
isogroup96185_c0_g1	znf207 Zinc finger protein 207
isogroup96143_c0_g1	 TBC1 domain family member 20-like
isogroup96187_c0_g1	MCM4 DNA replication initiation
isogroup96179_c0_g1	 cytoskeletal anchoring at plasma membrane
isogroup96158_c0_g1	 Starch/carbohydrate-binding module (family 53)
isogroup50317_c0_g1	CBWD1 COBW domain-containing protein
isogroup50376_c0_g1	WASHC1 Arp2/3 complex-mediated actin nucleation
isogroup50337_c0_g1	RALBP1 doxorubicin transport
isogroup50337_c1_g1	YWHAH glucocorticoid catabolic process
isogroup50335_c0_g1	PSMD7 26S proteasome non-ATPase regulatory subunit
isogroup50381_c0_g1	TNR negative regulation of axon extension involved in regeneration
isogroup50366_c0_g1	PRPF18 PRP18 pre-mRNA processing factor 18 homolog (yeast)
isogroup50325_c0_g1	NFS1 cysteine desulfurase activity
isogroup50300_c0_g2	 cytoskeletal anchoring at plasma membrane
isogroup50315_c0_g1	NCKIPSD SH3 domain binding
isogroup50332_c0_g1	EHF sequence-specific DNA binding
isogroup50348_c0_g1	 selenocysteine incorporation
isogroup50351_c0_g1	ADAMTS9 ADAM metallopeptidase with thrombospondin type 1 motif, 9
isogroup94240_c0_g1	SCPEP1 serine-type carboxypeptidase activity
isogroup94264_c0_g1	CCDC39 inner dynein arm assembly
isogroup94223_c0_g1	 N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
isogroup94257_c0_g1	TTC38 tetratricopeptide repeat
isogroup9556_c0_g1	 2'-5'-oligoadenylate synthetase 1, domain 2, C-terminus
isogroup9586_c0_g1	MALSU1 negative regulation of mitochondrial translation
isogroup9539_c0_g1	 fructose-bisphosphate aldolase
isogroup9538_c1_g1	 Discoidin domain-containing receptor
isogroup9538_c1_g5	 Discoidin domain-containing receptor
isogroup9552_c0_g1	 zinc ion binding
isogroup9589_c0_g1	COMMD10 COMM domain-containing protein 10
isogroup9547_c0_g1	 5S rRNA binding
isogroup9537_c0_g1	 K02A2.6-like
isogroup9577_c0_g4	RpS5a Ribosomal protein S7p/S5e
isogroup9577_c0_g2	RpS5a Ribosomal protein S7p/S5e
isogroup9553_c0_g1	SF3B1 spliceosomal complex assembly
isogroup9597_c0_g1	CHMP2A negative regulation of centriole elongation
isogroup9510_c0_g1	 Protein tyrosine kinase
isogroup9522_c0_g1	 activation of NF-kappaB-inducing kinase activity
isogroup9529_c0_g1	SACS negative regulation of inclusion body assembly
isogroup9524_c0_g1	 negative regulation of non-canonical Wnt signaling pathway
isogroup9534_c0_g1	eIF-1A translation initiation factor activity
isogroup9507_c0_g4	FOXRED1 mitochondrial respiratory chain complex I assembly
isogroup9507_c0_g1	EFHD1 EF-hand domain-containing protein
isogroup9558_c0_g4	SEC13 positive regulation of division septum assembly
isogroup9558_c0_g2	TTC1 TeTratriCopeptide repeat
isogroup9541_c0_g1	tia1 Nucleolysin TIA-1 isoform
isogroup9505_c0_g1	 ATP-dependent microtubule motor activity, minus-end-directed
isogroup9505_c0_g2	DNAH12 heavy chain
isogroup9505_c0_g3	DNAH3 heavy chain
isogroup9501_c0_g1	ASPH peptide-aspartate beta-dioxygenase activity
isogroup9567_c3_g1	ACSS1 acyl-CoA synthetase short-chain family member 1
isogroup9579_c0_g2	 non-membrane spanning protein tyrosine kinase activity
isogroup9591_c0_g1	GPSM2 Modulator
isogroup9520_c0_g1	MPEG1 MAC/Perforin domain
isogroup9523_c0_g1	PASK negative regulation of glycogen biosynthetic process
isogroup9588_c0_g1	 miRNA binding
isogroup5518_c1_g1	athp-1 transcription corepressor binding
isogroup5518_c0_g1	CCDC162P Coiled-coil domain-containing protein 162-like
isogroup5566_c0_g1	 Glutathione S-transferase, C-terminal domain
isogroup5582_c0_g1	RPLP0 ribosome biogenesis
isogroup5546_c0_g1	ngp-1 GTP binding
isogroup5507_c0_g1	 laminin subunit
isogroup5584_c0_g2	RNF157 transferase activity
isogroup5561_c0_g1	ARMC7 alpha-catenin binding
isogroup5587_c0_g2	 YhhN family
isogroup5508_c0_g4	 NACHT domain
isogroup5508_c2_g1	 NACHT domain
isogroup5524_c1_g1	 Protein tyrosine kinase
isogroup5510_c0_g1	RTEL1 ATP-dependent DNA helicase activity
isogroup5525_c0_g1	EIF2B3 translation initiation factor activity
isogroup5519_c0_g2	MPND metallopeptidase activity
isogroup5558_c0_g1	PLK1 protein serine/threonine kinase activity
isogroup5590_c0_g3	TMEM120B Transmembrane protein 120B
isogroup5560_c0_g1	 Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in mitochondrial tRNAs that read codons beginning with adenine. Probably involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37. Involved in mitochondrial genome maintenance
isogroup5556_c0_g1	Mrpl20 Ribosomal protein L20
isogroup5589_c0_g1	 complement activation, classical pathway
isogroup5586_c0_g1	 Si dkey-122a22.2
isogroup5565_c0_g1	 NACHT domain
isogroup5502_c0_g1	DUSP11 dual specificity phosphatase 11 (RNA RNP complex 1-interacting)
isogroup5532_c0_g1	MOB1B hippo signaling
isogroup5506_c0_g1	BRWD1 bromodomain and WD
isogroup5557_c0_g1	rpl26l1 regulation of translation involved in cellular response to UV
isogroup5555_c0_g1	NDNL2 renal sodium ion absorption
isogroup5523_c0_g1	GRAMD1B Domain of unknown function (DUF4782)
isogroup5513_c0_g1	DRG2 Developmentally regulated GTP binding protein 2
isogroup5526_c0_g2	PBDC1 Polysaccharide biosynthesis
isogroup5531_c0_g1	WRAP53 telomere formation via telomerase
isogroup5554_c0_g1	RASGEF1C family member
isogroup5581_c0_g1	HERC1 Domain Homologous to E6-AP Carboxyl Terminus with
isogroup5579_c0_g1	SACS negative regulation of inclusion body assembly
isogroup5572_c0_g1	SLC35F6 Solute carrier family 35 member F6
isogroup5575_c0_g1	THOC6 viral mRNA export from host cell nucleus
isogroup5512_c0_g4	CALR Calreticulin
isogroup5512_c0_g1	CALR Calreticulin
isogroup5512_c0_g2	PHLPP2 PH domain leucine-rich repeat-containing protein phosphatase 2
isogroup5512_c0_g3	 Male gamete fusion factor
isogroup5515_c0_g2	CTU1 Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Directly binds tRNAs and probably acts by catalyzing adenylation of tRNAs, an intermediate required for 2-thiolation. It is unclear whether it acts as a sulfurtransferase that transfers sulfur from thiocarboxylated urm1 onto the uridine of tRNAs at wobble position
isogroup5559_c0_g1	hmcn2 Hemicentin 2
isogroup5585_c1_g1	UTP3 UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)
isogroup5585_c2_g1	MED6 RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly
isogroup5585_c0_g1	GTF3C3 regulation of transcription by RNA polymerase III
isogroup5595_c0_g1	 Leucine-rich repeats, outliers
isogroup5537_c0_g1	TBCK regulation of vesicle fusion
isogroup5548_c0_g1	 Sulfotransferase family
isogroup5545_c0_g1	PI16 peptidase inhibitor 16
isogroup5528_c0_g1	SPATA20 spermatogenesis
isogroup5592_c0_g2	 Sushi, von Willebrand factor type A, EGF and pentraxin
isogroup5592_c0_g3	 complement activation, classical pathway
isogroup5596_c0_g1	 40s ribosomal protein
isogroup5570_c0_g2	CALR Calreticulin
isogroup5520_c1_g1	POLR1B nucleologenesis
isogroup5535_c0_g1	SUPT3H histone H3 acetylation
isogroup5514_c0_g1	KIF14 Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
isogroup5517_c0_g1	 fibroblast growth factor-activated receptor activity
isogroup5543_c0_g2	CEP76 regulation of centriole replication
isogroup5540_c0_g2	EXOSC8 U1 snRNA 3'-end processing
isogroup5509_c0_g1	gcs-1 glutamate-cysteine ligase activity
isogroup5509_c0_g3	gcs-1 glutamate-cysteine ligase activity
isogroup5541_c0_g1	NADK2 Mitochondrial NAD( ) kinase that phosphorylates NAD( ) to yield NADP( ). Can use both ATP or inorganic polyphosphate as the phosphoryl donor
isogroup5541_c0_g2	SLC30A7 regulation of sequestering of zinc ion
isogroup97452_c0_g1	ILK integrin-mediated signaling pathway
isogroup97475_c0_g1	bai regulation of post-mating oviposition
isogroup97465_c0_g1	 ADP-ribosylation factor family
isogroup97488_c0_g1	 D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
isogroup97403_c0_g1	DYSF plasma membrane repair
isogroup97420_c0_g1	Rpn11 Prokaryotic homologs of the JAB domain
isogroup97418_c0_g1	IMPAD1 3'-nucleotidase activity
isogroup97483_c0_g1	BLOC1S1 anterograde synaptic vesicle transport
isogroup97434_c0_g1	DIS3L DIS3 mitotic control homolog (S. cerevisiae)-like
isogroup97464_c0_g1	FAM188B Family with sequence similarity 188, member B
isogroup72438_c0_g1	 activation of NF-kappaB-inducing kinase activity
isogroup72433_c0_g2	 glycoside hydrolase family 63
isogroup54029_c0_g1	CycB3 regulation of cyclin-dependent protein serine/threonine kinase activity
isogroup54035_c0_g1	 myosin light chain kinase activity
isogroup54099_c0_g1	 sodium-dependent glucose transporter
isogroup54047_c1_g1	DARS Aspartyl-tRNA synthetase
isogroup54047_c0_g2	DARS Aspartyl-tRNA synthetase
isogroup54019_c0_g1	 serine threonine-protein kinase
isogroup54023_c0_g1	MICU1 positive regulation of mitochondrial calcium ion concentration
isogroup54080_c0_g1	 ubiquitin-like protein ligase activity
isogroup54058_c0_g1	DDX21 7SK snRNA binding
isogroup54027_c0_g1	 Belongs to the 5'-nucleotidase family
isogroup54066_c0_g1	ACSS1 acetate biosynthetic process
isogroup54020_c0_g1	 K02A2.6-like
isogroup54079_c0_g1	C1orf50 identical protein binding
isogroup54055_c0_g1	GYS2 glycogen (starch) synthase activity
isogroup88087_c0_g1	 Alternative splicing regulator
isogroup88063_c0_g1	 neurogenic locus notch homolog protein
isogroup88035_c0_g1	PLCD3 Phospholipase C, delta 3a
isogroup88048_c0_g1	 Gelsolin homology domain
isogroup42262_c0_g1	ROCK2 regulation of angiotensin-activated signaling pathway
isogroup42240_c0_g1	TNFAIP8 Tumor necrosis factor alpha-induced protein
isogroup42232_c0_g1	 G-protein coupled receptor activity
isogroup42209_c0_g1	 Lipopolysaccharide-induced tumor necrosis factor-alpha factor
isogroup42218_c0_g1	 C-terminal of Roc, COR, domain
isogroup42215_c0_g1	SBF1 Rab guanyl-nucleotide exchange factor activity
isogroup42222_c0_g1	EIF4E3 Eukaryotic translation initiation factor 4E
isogroup12640_c0_g1	 T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
isogroup12696_c0_g1	USP30 protein K6-linked deubiquitination
isogroup12657_c0_g4	VPS35 Vacuolar protein sorting-associated protein
isogroup12657_c0_g1	VPS35 Vacuolar protein sorting-associated protein 35
isogroup12657_c0_g2	VPS35 negative regulation of late endosome to lysosome transport
isogroup12657_c0_g3	VPS35 negative regulation of late endosome to lysosome transport
isogroup12632_c0_g1	TLN1 cytoskeletal anchoring at plasma membrane
isogroup12632_c1_g1	EXOSC4 polyadenylation-dependent snoRNA 3'-end processing
isogroup12694_c1_g1	UFSP2 UFM1 hydrolase activity
isogroup12631_c0_g1	PPIL3 PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
isogroup12673_c0_g1	 dodecenoyl-CoA delta-isomerase activity
isogroup12685_c0_g1	Nhe3 sodium:proton antiporter activity
isogroup12685_c0_g3	Nhe3 sodium:proton antiporter activity
isogroup12610_c0_g1	26-29-p Cathepsin propeptide inhibitor domain (I29)
isogroup12608_c0_g1	RPL11 Belongs to the universal ribosomal protein uL5 family
isogroup12654_c0_g1	 K02A2.6-like
isogroup12604_c0_g1	 gamma-aminobutyric acid type B receptor subunit
isogroup12638_c0_g1	RAB7A RAB7A, member RAS oncogene family
isogroup12652_c0_g1	RAB4A GTPase activity
isogroup12652_c0_g2	RAB4A GTPase activity
