k141_145339_5	chemotaxis, protein
k141_447245_49	uracil-DNA
k141_447245_50	Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA
k141_447657_1	Belongs to the ATCase OTCase family
k141_447657_2	Transcriptional regulator
k141_158206_1	Transglutaminase/protease-like homologues
k141_158206_2	PFAM N-formylglutamate amidohydrolase
k141_158206_5	peptidylprolyl isomerase
k141_158206_6	PFAM NifZ
k141_158408_5	COG0659 Sulfate permease and related transporters (MFS superfamily)
k141_158408_7	CBS-domain-containing membrane protein
k141_158408_11	Biotin-lipoyl like
k141_158408_12	PFAM VacJ family lipoprotein
k141_158408_13	serine threonine protein kinase
k141_158408_14	-
k141_158408_16	redox protein, regulator of disulfide bond formation
k141_158408_18	Cytochrome c554 and c-prime
k141_158408_19	PFAM NapC NirT cytochrome c
k141_158408_24	Protein of unknown function (DUF2895)
k141_158408_25	Protein of unknown function (DUF2895)
k141_158408_28	integrating conjugative element membrane protein
k141_158408_29	Protein of unknown function (DUF3262)
k141_158408_37	Domain of unknown function (DUF4400)
k141_10810_1	Binding-protein-dependent transport system inner membrane component
k141_230366_2	dehydratase
k141_158599_3	Cytochrome c class I
k141_158599_4	Cytochrome c
k141_158599_5	Methylamine dehydrogenase, L chain
k141_158599_6	Methylamine dehydrogenase heavy chain (MADH)
k141_158599_7	Amidase
k141_302027_1	lipoprotein
k141_302027_2	Catalyzes the reversible cyclization of carbamoyl aspartate to dihydroorotate
k141_302027_3	Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
k141_302027_4	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
k141_230813_1	COG1221 Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain
k141_230813_2	PspA/IM30 family
k141_230813_3	shock B family protein
k141_230813_4	phage shock protein C
k141_302130_1	Histidine kinase
k141_302130_2	Transposase IS200 like
k141_230854_1	Reductase C-terminal
k141_230854_2	Ferredoxin
k141_230854_4	Transglutaminase/protease-like homologues
k141_85590_12	TonB dependent receptor
k141_85590_17	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
k141_85590_50	Putative regulatory protein
k141_302180_3	Histidine phosphatase superfamily (branch 1)
k141_302180_5	Belongs to the sulfur carrier protein TusA family
k141_302180_7	-
k141_302180_10	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).
k141_302180_11	Histidine kinase
k141_230953_5	COGs COG1020 Non-ribosomal peptide synthetase modules and related protein
k141_230953_8	AMP-binding enzyme C-terminal domain
k141_448808_1	Putative ATP-dependant zinc protease
k141_448808_2	Acts as a magnesium transporter
k141_11890_1	Integrase
k141_11890_3	COG4974 Site-specific recombinase XerD
k141_302842_3	-
k141_302842_8	Protein of unknown function (DUF2905)
k141_302842_9	Belongs to the peptidase S1C family
k141_302842_28	PFAM Lytic
k141_302842_29	PFAM periplasmic solute binding protein
k141_302842_30	ABC transporter
k141_302842_31	pfam abc-3
k141_302842_32	-
k141_302842_44	Radical SAM
k141_302842_45	-
k141_302842_46	diguanylate cyclase
k141_302842_48	PFAM toluene tolerance
k141_302842_49	Involved in the heme biosynthesis. Catalyzes the aerobic oxidative decarboxylation of propionate groups of rings A and B of coproporphyrinogen-III to yield the vinyl groups in protoporphyrinogen-IX
k141_302842_50	PFAM 7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK
k141_302842_51	Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin
k141_302842_52	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP
k141_302842_53	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction
k141_302842_54	Belongs to the bacterial ribosomal protein bS21 family
k141_302842_55	Yqey-like protein
k141_302842_56	RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication
k141_302842_57	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth
k141_302842_63	Putative RNA methylase family UPF0020
k141_302842_66	Protein of unknown function (DUF971)
k141_302842_70	related to Ser Thr protein kinases
k141_302842_71	Together with LptE, is involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane
k141_302842_72	Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation
k141_302842_73	Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP)
k141_302855_1	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).
k141_302855_3	Putative restriction endonuclease
k141_159863_2	COG1157 Flagellar biosynthesis type III secretory pathway ATPase
k141_159863_3	Flagellar biosynthesis type III secretory pathway protein
k141_159863_4	FliG is one of three proteins (FliG, FliN, FliM) that forms the rotor-mounted switch complex (C ring), located at the base of the basal body. This complex interacts with the CheY and CheZ chemotaxis proteins, in addition to contacting components of the motor that determine the direction of flagellar rotation
k141_159863_5	The M ring may be actively involved in energy transduction
k141_159863_6	PFAM Flagellar hook-basal body complex protein FliE
k141_159863_7	COG2204 Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains
k141_159863_8	Histidine kinase
k141_159863_9	sigma54 specific, transcriptional regulator, Fis family
k141_159863_11	PFAM Short-chain dehydrogenase reductase SDR
k141_159863_12	radical SAM domain protein
k141_159863_14	PFAM Glycosyl transferase family 2
k141_159863_15	Transposase IS200 like
k141_87027_4	Serine aminopeptidase, S33
k141_87027_8	response regulator receiver
k141_87027_9	response regulator receiver
k141_87027_12	Catalyzes the prenylation of para-hydroxybenzoate (PHB) with an all-trans polyprenyl group. Mediates the second step in the final reaction sequence of ubiquinone-8 (UQ-8) biosynthesis, which is the condensation of the polyisoprenoid side chain with PHB, generating the first membrane-bound Q intermediate 3- octaprenyl-4-hydroxybenzoate
k141_87027_13	Competence protein
k141_87027_14	Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism
k141_87027_15	Catalyzes the decarboxylative condensation of pimeloyl- acyl-carrier protein and L-alanine to produce 8-amino-7- oxononanoate (AON), acyl-carrier protein , and carbon dioxide
k141_87027_16	The physiological role of BioH is to remove the methyl group introduced by BioC when the pimeloyl moiety is complete. It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway through the hydrolysis of the ester bonds of pimeloyl-ACP esters
k141_87027_17	Converts the free carboxyl group of a malonyl-thioester to its methyl ester by transfer of a methyl group from S-adenosyl- L-methionine (SAM). It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway
k141_87027_18	Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring
k141_87027_19	Integral membrane protein (DUF2244)
k141_87027_20	Subunits I and II form the functional core of the enzyme complex. Electrons originating in cytochrome c are transferred via heme a and Cu(A) to the binuclear center formed by heme a3 and Cu(B)
k141_87027_21	Belongs to the heme-copper respiratory oxidase family
k141_87027_23	cytochrome c oxidase assembly protein
k141_87027_24	Cytochrome c oxidase subunit III
k141_87027_25	Protein of unknown function (DUF2909)
k141_87027_26	SURF1-like protein
k141_87027_27	signal sequence binding
k141_87027_28	cytochrome oxidase assembly
k141_87027_29	Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group
k141_87027_33	Protein of unknown function (DUF2914)
k141_87027_34	COG0664 cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases
k141_87027_36	heavy metal translocating P-type ATPase
k141_87027_37	TIGRFAM cytochrome oxidase maturation protein, cbb3-type
k141_87027_38	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is involved in regulation of expression of heat shock genes
k141_87027_40	Fatty acid hydroxylase superfamily
k141_87027_41	Part of the ABC transporter FtsEX involved in cellular division
k141_87027_42	TIGRFAM Cell division ATP-binding protein FtsE
k141_87027_43	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC). Interaction with SRP-RNC leads to the transfer of the RNC complex to the Sec translocase for insertion into the membrane, the hydrolysis of GTP by both Ffh and FtsY, and the dissociation of the SRP-FtsY complex into the individual components
k141_87027_44	Belongs to the peptidase M16 family
k141_87027_45	PFAM Peptidase M16
k141_87027_46	Specifically methylates the guanine in position 966 of 16S rRNA in the assembled 30S particle
k141_87027_47	Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate
k141_87027_49	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
k141_87027_53	signal transduction protein
k141_87027_57	PFAM Glycosyl transferase family 4
k141_87057_3	Promotes RNA polymerase assembly. Latches the N- and C- terminal regions of the beta' subunit thereby facilitating its interaction with the beta and alpha subunits
k141_87057_4	Essential for recycling GMP and indirectly, cGMP
k141_232202_1	Putative restriction endonuclease
k141_232202_4	Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle
k141_303184_2	EcsC protein family
k141_303184_3	Protein of unknown function (DUF5132)
k141_303184_6	Cation transport ATPase (P-type)
k141_303184_8	TIGRFAM Type VI secretion system effector, Hcp1
k141_303184_11	COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain
k141_303184_12	DNA polymerase III
k141_303184_14	Histidine kinase
k141_303184_15	Belongs to the TPP enzyme family
k141_303184_16	Citrate synthase
k141_303184_17	Belongs to the citrate synthase family
k141_303184_18	TonB-dependent Receptor Plug
k141_303184_19	ABC transporter substrate binding protein
k141_303184_20	response regulator receiver
k141_303184_21	COG1198 Primosomal protein N' (replication factor Y) - superfamily II helicase
k141_303184_22	Domain of unknown function (DUF4339)
k141_303184_23	Belongs to the TelA family
k141_303184_24	PFAM 5-bromo-4-chloroindolyl phosphate hydrolysis protein
k141_303184_30	Belongs to the RimK family
k141_303184_31	PFAM Succinylglutamate desuccinylase Aspartoacylase
k141_303184_33	Surface antigen variable number
k141_378122_2	Belongs to the binding-protein-dependent transport system permease family
k141_378122_3	Periplasmic binding protein
k141_378122_4	TIGRFAM isocitrate dehydrogenase, NADP-dependent
k141_87791_1	RNA polymerase beta subunit external 1 domain
k141_87791_2	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
k141_233184_1	COG0604 NADPH quinone reductase and related Zn-dependent oxidoreductases
k141_233184_2	Sodium hydrogen antiporter
k141_233407_1	it plays a direct role in the translocation of protons across the membrane
k141_233407_2	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
k141_233407_3	ATP synthase F(0) sector subunit b
k141_233407_4	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
k141_233407_5	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit
k141_13992_1	Chondroitinase B
k141_13992_2	Heparinase II/III-like protein
k141_162025_4	Protein of unknown function DUF89
k141_162270_1	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
k141_162270_2	6-pyruvoyl tetrahydropterin synthase
k141_162270_3	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
k141_162270_4	Involved in the import of queuosine (Q) precursors, required for Q precursor salvage
k141_162270_5	Enoyl-CoA hydratase carnithine racemase
k141_162689_3	Transposase IS200 like
k141_162689_5	PIN domain
k141_14809_3	Aldehyde ferredoxin oxidoreductase, N-terminal domain
k141_14809_5	Pyridine nucleotide-disulphide oxidoreductase
k141_14809_8	ThiS family
k141_14809_9	Catalyzes the cyclization of GTP to (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate
k141_14809_11	Necessary for the introduction of cis unsaturation into fatty acids. Catalyzes the dehydration of (3R)-3-hydroxydecanoyl- ACP to E-(2)-decenoyl-ACP and then its isomerization to Z-(3)- decenoyl-ACP. Can catalyze the dehydratase reaction for beta- hydroxyacyl-ACPs with saturated chain lengths up to 16 0, being most active on intermediate chain length
k141_14809_12	Belongs to the beta-ketoacyl-ACP synthases family
k141_89393_1	Vault protein inter-alpha-trypsin domain
k141_89393_2	Transmembrane exosortase (Exosortase_EpsH)
k141_89393_3	COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain
k141_89393_4	Histidine kinase
k141_162950_1	Cobalamin biosynthesis protein CobT
k141_162950_2	PFAM ATPase associated with various cellular activities
k141_305586_1	COG1629 Outer membrane receptor proteins, mostly Fe transport
k141_305586_2	COG1506 Dipeptidyl aminopeptidases acylaminoacyl-peptidases
k141_15043_5	COG0491 Zn-dependent hydrolases, including glyoxylases
k141_15043_7	NAD-dependent epimerase dehydratase
k141_15043_8	membrane transporter protein
k141_15043_9	Diguanylate cyclase
k141_15043_10	PFAM transposase IS111A IS1328 IS1533, transposase IS116 IS110 IS902 family protein
k141_15043_13	PFAM Type II secretion system protein E
k141_15043_14	Type II secretion system
k141_15043_15	Type II secretion system (T2SS), protein G
k141_15043_16	General secretion pathway protein H
k141_15043_17	Prokaryotic N-terminal methylation motif
k141_15043_19	PFAM General secretion pathway protein K
k141_15043_20	fimbrial assembly
k141_15043_21	Type II secretion system (T2SS), protein M subtype b
k141_15043_23	Type II and III secretion system protein
k141_15043_26	pfam abc
k141_15043_27	ABC-2 family transporter protein
k141_15043_28	ABC-type uncharacterized transport system
k141_15043_30	Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases. Has a preference for oxidized purines, such as 7,8-dihydro-8-oxoguanine (8-oxoG). Has AP (apurinic apyrimidinic) lyase activity and introduces nicks in the DNA strand. Cleaves the DNA backbone by beta-delta elimination to generate a single-strand break at the site of the removed base with both 3'- and 5'-phosphates
k141_15043_31	COG0405 Gamma-glutamyltransferase
k141_234601_7	Belongs to the peptidase M16 family
k141_234601_8	Required for chromosome condensation and partitioning
k141_234601_9	Essential cell division protein that stabilizes the FtsZ protofilaments by cross-linking them and that serves as a cytoplasmic membrane anchor for the Z ring. Also required for the recruitment to the septal ring of downstream cell division proteins
k141_234601_10	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA
k141_234601_18	Host attachment protein
k141_234601_19	protein histidine kinase activity
k141_234601_21	LTXXQ motif family protein
k141_234601_22	Universal stress protein family
k141_234601_23	Calcineurin-like phosphoesterase
k141_234601_24	AAA domain
k141_234601_26	DNA-dependent ATPase involved in processing of recombination intermediates, plays a role in repairing DNA breaks. Stimulates the branch migration of RecA-mediated strand transfer reactions, allowing the 3' invading strand to extend heteroduplex DNA faster. Binds ssDNA in the presence of ADP but not other nucleotides, has ATPase activity that is stimulated by ssDNA and various branched DNA structures, but inhibited by SSB. Does not have RecA's homology-searching function
k141_234601_28	Binds the second messenger bis-(3'-5') cyclic dimeric guanosine monophosphate (c-di-GMP). Can bind two c-di-GMP molecules per monomer. May play a role in bacterial second- messenger regulated processes. Binding to c-di-GMP induces a conformational change of the C- and N-termini resulting in the exposure of a highly negative surface on one side of the protein to a
k141_234601_29	CBS domain
k141_234601_30	transport system, permease component
k141_234601_31	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY. Interaction with FtsY leads to the transfer of the RNC complex to the Sec translocase for insertion into the membrane, the hydrolysis of GTP by both Ffh and FtsY, and the dissociation of the SRP-FtsY complex into the individual components
k141_234601_32	Belongs to the bacterial ribosomal protein bS16 family
k141_234601_33	An accessory protein needed during the final step in the assembly of 30S ribosomal subunit, possibly for assembly of the head region. Probably interacts with S19. Essential for efficient processing of 16S rRNA. May be needed both before and after RbfA during the maturation of 16S rRNA. It has affinity for free ribosomal 30S subunits but not for 70S ribosomes
k141_234601_34	Belongs to the RNA methyltransferase TrmD family
k141_234601_35	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site
k141_234601_36	TIGRFAM Tyrosine recombinase XerD
k141_234601_37	Belongs to the UPF0234 family
k141_234601_38	Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process
k141_234601_39	PFAM Thioredoxin
k141_380947_2	FeS assembly SUF system protein SufT
k141_380947_13	Domain in cystathionine beta-synthase and other proteins.
k141_380947_14	RecQ zinc-binding
k141_163176_1	Ubiquinone biosynthesis hydroxylase, UbiH UbiF VisC COQ6
k141_234783_2	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly
k141_234783_3	Belongs to the universal ribosomal protein uS9 family
k141_381032_1	MltA-interacting protein MipA
k141_381032_2	Phosphopantetheine attachment site
k141_381032_3	membrane
k141_381032_4	AMP-binding enzyme
k141_381032_5	dehydratase
k141_381032_6	Bacterial lipid A biosynthesis acyltransferase
k141_381032_8	MMPL family
k141_381032_10	Beta-ketoacyl synthase, N-terminal domain
k141_381032_13	Glycosyl transferase family 2
k141_381063_3	COG3344 Retron-type reverse transcriptase
k141_163450_1	Pyruvate kinase, barrel domain
k141_15393_1	Protein of unknown function C-terminus (DUF2399)
k141_15393_2	Putative exonuclease SbcCD, C subunit
k141_15393_3	Protein of unknown function (DUF2398)
k141_15393_4	Protein of unknown function (DUF2397)
k141_381307_4	Belongs to the peptidase S8 family
k141_381307_7	COG1454 Alcohol dehydrogenase, class IV
k141_381307_10	PFAM Lytic transglycosylase catalytic
k141_381307_11	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).
k141_381307_13	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).
k141_381307_14	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS
k141_381307_15	Bacterial transglutaminase-like cysteine proteinase BTLCP
k141_381307_17	PFAM Alcohol dehydrogenase
k141_381307_18	Transposase IS200 like
k141_381307_22	COG0454 Histone acetyltransferase HPA2 and related acetyltransferases
k141_381307_23	Putative restriction endonuclease
k141_90572_1	COG1403 Restriction endonuclease
k141_90572_2	Specifically methylates the ribose of guanosine 2251 in 23S rRNA
k141_90572_3	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs
k141_90572_4	Transcriptional modulator of MazE toxin, MazF
k141_90572_5	family transcriptional regulator
k141_90572_6	Toxic component of a toxin-antitoxin (TA) module. An RNase
k141_90572_8	Pfam:HipA_N
k141_90572_9	sequence-specific DNA binding
k141_90572_10	Domain of unknown function (DUF4143)
k141_453764_1	Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell
k141_453764_3	Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs
k141_15476_1	Involved in the gluconeogenesis. Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP) through direct phosphoryl transfer between the nucleoside triphosphate and OAA
k141_15476_2	Catalyzes the conversion of dihydroorotate to orotate
k141_15476_3	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin
k141_15476_4	Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster
k141_15476_5	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr)
k141_15476_7	Belongs to the universal stress protein A family
k141_15476_8	PFAM Glutamine cyclotransferase
k141_15476_9	PFAM Ribonuclease II
k141_15476_10	COG1278 Cold shock proteins
k141_15476_13	Anti-anti-sigma regulatory factor (Antagonist of anti-sigma factor)
k141_15476_14	COG0784 FOG CheY-like receiver
k141_15476_21	succinate dehydrogenase
k141_15476_22	Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily
k141_15476_23	TIGRFAM succinate dehydrogenase and fumarate reductase iron-sulfur protein
k141_15476_24	Belongs to the GcvT family
k141_15476_25	Belongs to the class-II aminoacyl-tRNA synthetase family
k141_15476_26	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA
k141_15476_28	Protein of unknown function (DUF3365)
k141_15476_31	Mycolic acid cyclopropane synthetase
k141_15476_33	PFAM Outer membrane lipoprotein Slp
k141_15476_34	Outer Membrane Lipoprotein
k141_15476_36	Binding-protein-dependent transport system inner membrane component
k141_15476_37	Binding-protein-dependent transport system inner membrane component
k141_15476_39	Catalyzes amidations at positions B, D, E, and G on adenosylcobyrinic A,C-diamide. NH(2) groups are provided by glutamine, and one molecule of ATP is hydrogenolyzed for each amidation
k141_15476_43	Required for both de novo synthesis of the corrin ring for the assimilation of exogenous corrinoids. Participates in the adenosylation of a variety of incomplete and complete corrinoids
k141_15476_47	Methyltransferase
k141_15476_52	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
k141_15476_53	Thioredoxin-like domain
k141_15476_55	PBP superfamily domain
k141_15476_57	Type II secretory pathway component ExeA
k141_15476_60	acyl-CoA dehydrogenase
k141_15476_62	electron transfer flavoprotein beta subunit
k141_15476_64	Involved in the aerobic and anaerobic degradation of long-chain fatty acids via beta-oxidation cycle. Catalyzes the formation of 3-oxoacyl-CoA from enoyl-CoA via L-3-hydroxyacyl-CoA. It can also use D-3-hydroxyacyl-CoA and cis-3-enoyl-CoA as substrate
k141_15476_66	dehydrogenase domain of multifunctional non-ribosomal peptide synthetases and related enzymes
k141_15476_68	MMPL family
k141_15476_69	Photosynthesis system II assembly factor YCF48
k141_15476_70	Protein of unknown function (DUF1329)
k141_15476_71	Protein of unknown function (DUF1302)
k141_15476_72	Belongs to the aldehyde dehydrogenase family
k141_15476_73	Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the oxidation of choline to betaine aldehyde and betaine aldehyde to glycine betaine at the same rate
k141_15476_74	-
k141_15476_75	polyhydroxyalkanoic acid
k141_381476_1	glycyl-tRNA synthetase, alpha subunit
k141_381476_4	adenosyltransferase
k141_381476_5	Acetyl-coenzyme A transporter 1
k141_381476_6	methylated DNA-protein cysteine methyltransferase
k141_381476_7	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter
k141_381476_8	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
k141_381476_9	Urate oxidase N-terminal
k141_235579_2	Methyltransferase domain
k141_235579_4	Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan
k141_235579_5	Protein of unknown function, DUF484
k141_235579_6	Belongs to the 'phage' integrase family. XerC subfamily
k141_235579_7	Protease subunit of a proteasome-like degradation complex believed to be a general protein degrading machinery
k141_235579_8	this subunit has chaperone activity. The binding of ATP and its subsequent hydrolysis by HslU are essential for unfolding of protein substrates subsequently hydrolyzed by HslV. HslU recognizes the N-terminal part of its protein substrates and unfolds these before they are guided to HslV for hydrolysis
k141_235579_9	protein conserved in bacteria
k141_235579_10	Methyltransferase required for the conversion of demethylmenaquinol (DMKH2) to menaquinol (MKH2) and the conversion of 2-polyprenyl-6-methoxy-1,4-benzoquinol (DDMQH2) to 2- polyprenyl-3-methyl-6-methoxy-1,4-benzoquinol (DMQH2)
k141_235579_11	Sterol-binding domain protein
k141_235579_12	Is probably a protein kinase regulator of UbiI activity which is involved in aerobic coenzyme Q (ubiquinone) biosynthesis
k141_235579_15	TIGRFAM DJ-1 family protein
k141_235579_16	Belongs to the peptidase S41A family
k141_235579_17	COG4942 Membrane-bound metallopeptidase
k141_235579_18	regulatory protein, arsR
k141_235579_19	PFAM Rhodanese-like
k141_235579_21	One of the proteins required for the normal export of preproteins out of the cell cytoplasm. It is a molecular chaperone that binds to a subset of precursor proteins, maintaining them in a translocation-competent state. It also specifically binds to its receptor SecA
k141_235579_22	Glycerol-3-phosphate dehydrogenase
k141_235579_23	Methylates the ribose at the nucleotide 34 wobble position in the two leucyl isoacceptors tRNA(Leu)(CmAA) and tRNA(Leu)(cmnm5UmAA). Catalyzes the methyl transfer from S- adenosyl-L-methionine to the 2'-OH of the wobble nucleotide
k141_235579_24	Belongs to the dihydroorotate dehydrogenase family. Type 1 subfamily
k141_235579_26	Endonuclease/Exonuclease/phosphatase family
k141_16018_2	Transposase zinc-ribbon domain
k141_382198_4	Tetratricopeptide repeat
k141_382198_6	Removes the pyruvyl group from chorismate, with concomitant aromatization of the ring, to provide 4- hydroxybenzoate (4HB) for the ubiquinone pathway
k141_382198_7	Critical role in recombination and DNA repair. Helps process Holliday junction intermediates to mature products by catalyzing branch migration. Has a DNA unwinding activity characteristic of a DNA helicase with a 3'- to 5'- polarity. Unwinds branched duplex DNA (Y-DNA)
k141_382198_8	Uncharacterised protein family UPF0047
k141_307107_3	Multidrug efflux pump
k141_91609_1	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)
k141_91609_2	Uncharacterized ACR, COG1993
k141_91609_5	PFAM Cytochrome bd ubiquinol oxidase, subunit I
