isogroup122754_c0_g1	NLRP2 PAAD/DAPIN/Pyrin domain
isogroup23373_c0_g1	SOD1 Destroys radicals which are normally produced within the cells and which are toxic to biological systems
isogroup23314_c0_g1	 mitochondrial respiratory chain complex I assembly
isogroup23361_c0_g1	 regulation of fibroblast apoptotic process
isogroup23302_c0_g1	VPS11 endosomal vesicle fusion
isogroup23300_c0_g1	 Filamin C, gamma
isogroup23320_c0_g1	MTMR2 Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
isogroup51861_c0_g1	NSF Vesicle-fusing ATPase
isogroup51834_c0_g1	 ribosomal protein import into nucleus
isogroup51895_c0_g1	RIBC2 with coiled-coils
isogroup51801_c0_g1	KLF8 Krueppel-like factor
isogroup51899_c0_g1	RAD23B RAD23 homolog B, nucleotide excision repair protein
isogroup51855_c0_g1	SEC14L2 CRAL/TRIO, N-terminal domain
isogroup51860_c0_g1	 protein depalmitoleylation
isogroup51807_c0_g1	EDF1 positive regulation of DNA binding
isogroup60025_c0_g1	 G/U mismatch-specific uracil-DNA glycosylase activity
isogroup60055_c1_g1	 actin filament severing
isogroup60057_c0_g1	 Glutathione S-transferase, C-terminal domain
isogroup60001_c0_g2	UBR5 negative regulation of histone ubiquitination
isogroup60094_c0_g1	EIF4EBP3 eukaryotic initiation factor 4E binding
isogroup60052_c0_g1	RPL28 ribosomal protein
isogroup60083_c0_g1	LIN7C L27 domain binding
isogroup60078_c1_g2	STOM regulation of acid-sensing ion channel activity
isogroup60009_c0_g1	ZFR zinc ion binding
isogroup60009_c0_g5	ZFR zinc ion binding
isogroup60009_c0_g6	ZFR zinc ion binding
isogroup60009_c0_g7	ZFR zinc ion binding
isogroup60009_c0_g8	ZFR zinc ion binding
isogroup60091_c1_g1	 Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
isogroup60008_c0_g1	 It is involved in the biological process described with cotranslational protein targeting to membrane
isogroup60050_c0_g1	MRPL52 ribosomal protein L52
isogroup60066_c0_g2	VAPA (vesicle-associated membrane protein)-associated protein
isogroup60097_c0_g1	UGT8 Belongs to the UDP-glycosyltransferase family
isogroup60037_c0_g3	EPRS glutamate-tRNA ligase activity
isogroup60027_c0_g2	CORO1C actin filament binding
isogroup2273_c0_g1	TDRKH DNA methylation involved in gamete generation
isogroup2255_c0_g1	MYCBP2 E3 ubiquitin-protein ligase
isogroup2219_c0_g1	 SUMO binding
isogroup87431_c0_g1	DIAPH1 Rho GTPase binding
isogroup87458_c0_g1	EXOC6B Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane
isogroup87484_c0_g1	DHCR7 brassinosteroid metabolic process
isogroup87451_c0_g1	Klf12 nucleic acid binding
isogroup87440_c0_g1	SVIL supervillin
isogroup87406_c0_g1	SPNS1 Spinster homolog 1
isogroup87474_c0_g1	NUBP2 iron-sulfur cluster assembly
isogroup45761_c0_g1	RpS8 Belongs to the eukaryotic ribosomal protein eS8 family
isogroup45769_c0_g1	FBL ubiE/COQ5 methyltransferase family
isogroup45738_c0_g2	LSM6 LSM domain
isogroup45764_c0_g1	EIF5A eukaryotic translation initiation factor
isogroup45735_c0_g1	GYS2 glycogen (starch) synthase activity
isogroup45796_c0_g1	TM2D3 TM2 domain containing 3
isogroup45718_c0_g1	SUPT5H regulation of DNA-templated transcription, elongation
isogroup45754_c0_g1	 NADH-ubiquinone reductase complex 1 MLRQ subunit
isogroup45745_c0_g1	Aats-thr Threonyl and Alanyl tRNA synthetase second additional domain
isogroup45745_c0_g2	 threonyl-tRNA aminoacylation
isogroup45753_c0_g1	HACE1 HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1
isogroup75478_c0_g2	SCYL2 positive regulation of clathrin-dependent endocytosis
isogroup75499_c0_g2	 transcription coregulator activity
isogroup75443_c1_g1	 START domain
isogroup75443_c2_g1	 nuclear pore complex assembly
isogroup75408_c0_g2	FTCD formimidoyltetrahydrofolate cyclodeaminase activity
isogroup75463_c0_g2	 Deleted in malignant brain tumors 1
isogroup75488_c0_g1	ATP13A3 peptidyl-aspartic acid autophosphorylation
isogroup75488_c0_g3	PRDX6 Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Can reduce H(2)O(2) and short chain organic, fatty acid, and phospholipid hydroperoxides. Also has phospholipase activity, and can therefore either reduce the oxidized sn-2 fatty acyl grup of phospholipids (peroxidase activity) or hydrolyze the sn-2 ester bond of phospholipids (phospholipase activity). These activities are dependent on binding to phospholipids at acidic pH and to oxidized phospholipds at cytosolic pH. Plays a role in cell protection against oxidative stress by detoxifying peroxides and in phospholipid homeostasis
isogroup75454_c3_g1	HERC4 E3 ubiquitin-protein ligase HERC4 isoform X1
isogroup75454_c3_g2	HERC4 HECT and RLD domain containing E3 ubiquitin protein ligase
isogroup75454_c3_g4	 ubiquitin-protein transferase activity
isogroup75432_c0_g1	SUPV3L1 ATP-dependent RNA helicase SUPV3L1, mitochondrial
isogroup75492_c0_g1	RB1CC1 reticulophagy
isogroup75441_c0_g1	SORT1 neurotensin receptor activity, non-G-protein coupled
isogroup75441_c0_g2	 Predicted coiled-coil protein (DUF2205)
isogroup75416_c2_g1	CEP76 regulation of centriole replication
isogroup75416_c2_g2	CEP76 regulation of centriole replication
isogroup75416_c3_g1	RTEL1 ATP-dependent DNA helicase activity
isogroup75401_c1_g1	INSRR Insulin receptor-related
isogroup75401_c1_g2	ALK Tyrosine kinase
isogroup75401_c1_g3	 ATP binding. It is involved in the biological process described with protein phosphorylation
isogroup75401_c2_g1	LDHD D-lactate dehydrogenase (cytochrome) activity
isogroup75411_c2_g1	USO1 Golgi vesicle docking
isogroup75417_c0_g2	SDHB Iron-sulfur protein (IP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)
isogroup75417_c2_g1	VAV2 Rho guanyl-nucleotide exchange factor activity
isogroup75420_c0_g1	FAM161A Family with sequence similarity 161, member A
isogroup75405_c0_g2	 dihydroceramide kinase activity
isogroup75405_c0_g3	CCDC92 Coiled-coil domain-containing protein 92
isogroup75467_c0_g1	PTPN14 protein tyrosine phosphatase activity
isogroup75452_c0_g1	PMVK Phosphomevalonate kinase
isogroup75445_c1_g1	 homophilic cell adhesion via plasma membrane adhesion molecules
isogroup75428_c0_g1	BCL2L1 Bcl2-like
isogroup75494_c0_g2	 von Willebrand factor (vWF) type D domain
isogroup75430_c2_g1	SSSCA1 identical protein binding
isogroup75486_c0_g1	 Microtubule binding
isogroup75462_c0_g1	TRAFD1 TRAF-type zinc finger
isogroup75410_c4_g2	 PiggyBac transposable element-derived protein 4-like
isogroup75415_c0_g1	 Belongs to the glycosyl hydrolase 5 (cellulase A) family
isogroup75447_c0_g1	TXNDC5 protein disulfide isomerase activity
isogroup75447_c1_g1	AK9 Adenylate kinase
isogroup75446_c1_g1	SPICE1 spindle and centriole associated protein 1
isogroup75446_c2_g1	COPA intra-Golgi vesicle-mediated transport
isogroup75444_c3_g1	 Mucin 4, cell surface associated
isogroup75422_c1_g1	 Ubiquitin-like domain
isogroup75433_c0_g1	 NACHT domain
isogroup75433_c0_g2	 NACHT domain
isogroup75433_c0_g4	NLRP3 NLRP3 inflammasome complex assembly
isogroup75496_c3_g1	IST1 viral capsid secondary envelopment
isogroup75496_c4_g1	IST1 viral capsid secondary envelopment
isogroup75481_c0_g1	DHX16 helicase activity
isogroup75481_c0_g2	DHX16 pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16
isogroup75481_c0_g3	TMEM208 vacuolar protein processing
isogroup75458_c0_g2	 Integrase core domain
isogroup75458_c1_g1	 Flavin reductase like domain
isogroup75435_c1_g1	 transposition, RNA-mediated
isogroup75435_c1_g2	 Jerky protein homolog-like
isogroup75448_c0_g1	 Solute carrier organic anion transporter family, member
isogroup75448_c0_g4	 Solute carrier organic anion transporter family, member
isogroup75442_c0_g1	NDUFV1 Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain
isogroup75497_c1_g3	NLRP13 NACHT domain
isogroup75497_c1_g1	 NLRP3 inflammasome complex assembly
isogroup75497_c1_g2	RNH1 Ribonuclease inhibitor
isogroup75487_c2_g2	 hydrolase activity, acting on ester bonds
isogroup75461_c0_g1	 sorting nexin
isogroup75498_c0_g2	 fibroblast growth factor-activated receptor activity
isogroup75498_c0_g6	 fibroblast growth factor-activated receptor activity
isogroup75498_c1_g2	EGFL7 EGF-like-domain, multiple 7
isogroup75498_c1_g1	MEGF6 Multiple epidermal growth factor-like domains protein 6
isogroup75479_c0_g2	KIAA1524 Protein CIP2A homolog
isogroup75476_c1_g1	Nlrp10 NACHT domain
isogroup75434_c0_g1	 glomerular parietal epithelial cell differentiation
isogroup75470_c0_g2	COG3 oligomeric golgi complex
isogroup75404_c4_g1	LIG3 base-excision repair, DNA ligation
isogroup75409_c0_g1	WBSCR16 Williams-Beuren syndrome chromosomal region 16
isogroup75409_c1_g2	RYK Tyrosine kinase
isogroup75436_c2_g1	DCUN1D1 Defective in cullin neddylation 1 domain containing
isogroup75490_c0_g1	DNAJC27 subfamily C member 27
isogroup75490_c1_g1	INTS9 snRNA processing
isogroup75490_c2_g1	CCDC132 Protein of unknown function C-terminus (DUF2451)
isogroup75475_c2_g2	USP15 Belongs to the peptidase C19 family
isogroup75475_c3_g1	TUBGCP5 Gamma-tubulin complex is necessary for microtubule nucleation at the centrosome
isogroup75475_c6_g2	CCDC96 Domain of unknown function (DUF4201)
isogroup75475_c6_g3	BIRC5 inhibition of cysteine-type endopeptidase activity involved in apoptotic process
isogroup75472_c0_g3	 Nidogen-like
isogroup75439_c1_g2	TMTC1 RNA processing
isogroup75483_c5_g1	APBA1 amyloid-beta binding
isogroup75485_c0_g2	 DnaJ molecular chaperone homology domain
isogroup75485_c0_g1	 DnaJ molecular chaperone homology domain
isogroup75493_c1_g1	LRRC45 Leucine rich repeat containing 45
isogroup75489_c1_g2	THAP9 THAP domain containing 9
isogroup75491_c0_g1	Nlrp10 NACHT domain
isogroup75491_c0_g3	IBA57 IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae)
isogroup75457_c0_g1	TBC1D7 TBC1 domain family, member 7
isogroup75468_c5_g1	rps9 positive regulation of translational fidelity
isogroup75468_c5_g2	rps9 positive regulation of translational fidelity
isogroup75413_c0_g1	SACS negative regulation of inclusion body assembly
isogroup75413_c0_g2	SACS negative regulation of inclusion body assembly
isogroup75460_c0_g1	hda-4 Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events
isogroup75460_c0_g4	hda-4 Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events
isogroup75456_c0_g1	POLA2 DNA-directed DNA polymerase activity
isogroup35046_c0_g1	SORBS1 stress fiber assembly
isogroup35053_c0_g1	RPL11 rRNA binding
isogroup35087_c0_g1	WDR16 WD domain, G-beta repeat
isogroup35088_c0_g2	 transposition, RNA-mediated
isogroup35080_c0_g1	 TraB family
isogroup35058_c0_g1	 RNA splicing
isogroup35064_c0_g1	 DoxX-like family
isogroup35044_c0_g1	STK4 serine threonine-protein kinase
isogroup35095_c0_g1	DYSF plasma membrane repair
isogroup23112_c0_g1	DCAF7 response to osmotic stress
isogroup23104_c0_g1	 protein transport
isogroup23115_c0_g1	 Map microtubule affinity-regulating kinase
isogroup58708_c0_g1	STOM regulation of acid-sensing ion channel activity
isogroup58700_c0_g1	SPPL2A Presenilin, signal peptide peptidase, family
isogroup58749_c0_g1	GSTK1 Glutathione S-transferase kappa 1
isogroup58745_c0_g1	 High-temperature-induced dauer-formation protein
isogroup58754_c0_g1	IRAK4 interleukin-1-mediated signaling pathway
isogroup58779_c0_g1	PKHD1L1 PA14 domain
isogroup58755_c0_g2	 It is involved in the biological process described with cytoskeletal anchoring at plasma membrane
isogroup58755_c0_g9	 It is involved in the biological process described with cytoskeletal anchoring at plasma membrane
isogroup58755_c0_g11	 It is involved in the biological process described with cytoskeletal anchoring at plasma membrane
isogroup58755_c0_g13	 It is involved in the biological process described with cytoskeletal anchoring at plasma membrane
isogroup58746_c0_g1	nas-15 Astacin (Peptidase family M12A)
isogroup58752_c0_g3	HNRNPUL1 Heterogeneous nuclear ribonucleoprotein U-like
isogroup58710_c0_g1	 regulation of acid-sensing ion channel activity
isogroup58791_c0_g1	 Domain in cystathionine beta-synthase and other proteins.
isogroup58791_c0_g4	 AMP binding
isogroup58712_c0_g1	PCNA DNA polymerase processivity factor activity
isogroup58702_c0_g1	 ADP-ribosylglycohydrolase
isogroup58761_c0_g1	SF1 pre-mRNA branch point binding
isogroup58741_c0_g1	FAM228B 
isogroup58744_c0_g1	 Zinc knuckle
isogroup58783_c0_g1	 Zinc finger, C4 type (two domains)
isogroup58771_c0_g1	CSDE1 nuclear-transcribed mRNA catabolic process, no-go decay
isogroup58772_c0_g1	RpS29 Structural constituent of ribosome. It is involved in the biological process described with
isogroup70355_c0_g7	 K02A2.6-like
isogroup70355_c0_g6	 thioesterase binding
isogroup70368_c1_g1	SLC25A32 FAD transmembrane transport
isogroup70379_c8_g2	 complement activation, classical pathway
isogroup70309_c0_g1	 Belongs to the spermidine spermine synthase family
isogroup70309_c0_g5	MLST8 TOR signaling
isogroup70309_c0_g2	SRM spermidine synthase activity
isogroup70384_c6_g1	NUCB2 positive regulation of testosterone secretion
isogroup70384_c6_g6	CDC37 protein kinase binding
isogroup70384_c7_g1	ARHGDIA Rho GDP-dissociation inhibitor activity
isogroup70384_c7_g4	Eno phosphopyruvate hydratase activity
isogroup70384_c7_g11	CIRBP small ribosomal subunit rRNA binding
isogroup70327_c0_g1	 BH2 domain binding
isogroup70369_c2_g2	B3GAT1 RNA splicing
isogroup70394_c5_g2	SUPT16H positive regulation of transcription elongation from RNA polymerase II promoter
isogroup70326_c0_g1	LGALS7 heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
isogroup70326_c0_g3	 Galectin
isogroup70326_c1_g1	MTFR1 mitochondrial fission
isogroup70358_c3_g1	PITRM1 Pitrilysin metalloproteinase 1
isogroup70343_c0_g1	TMTC4 Domain of unknown function (DUF1736)
isogroup70381_c1_g1	 DEAD/DEAH box helicase
isogroup70381_c5_g4	METTL14 Belongs to the MT-A70-like family
isogroup70320_c0_g2	ROGDI odontogenesis of dentin-containing tooth
isogroup70382_c0_g1	MTMR14 Myotubularin related protein 14
isogroup70382_c0_g2	MTMR14 Myotubularin related protein 14
isogroup70342_c0_g1	TRMT12 tRNA wybutosine-synthesizing protein 2 homolog
isogroup70391_c0_g1	 phosphatidylglycerophosphatase activity
isogroup70306_c0_g2	 Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
isogroup70389_c0_g2	 aldose 1-epimerase activity
isogroup70352_c1_g1	Rpl35 60S ribosomal protein
isogroup70352_c1_g2	CYCS electron transfer activity
isogroup70352_c2_g1	FAM213B prostaglandin-F synthase activity
isogroup70362_c2_g2	RUVBL2 Proposed core component of the chromatin remodeling Ino80 complex which is involved in transcriptional regulation, DNA replication and probably DNA repair
isogroup70362_c2_g4	RUVBL2 Proposed core component of the chromatin remodeling Ino80 complex which is involved in transcriptional regulation, DNA replication and probably DNA repair
isogroup70362_c3_g1	RUVBL2 Proposed core component of the chromatin remodeling Ino80 complex which is involved in transcriptional regulation, DNA replication and probably DNA repair
isogroup70393_c6_g1	GNAI3 G-protein beta/gamma-subunit complex binding
isogroup70310_c0_g1	DRAP1 DR1-associated protein 1 (negative cofactor 2 alpha)
isogroup70307_c4_g1	 Ribosome associated membrane protein RAMP4
isogroup70307_c5_g1	 Transferase activity, transferring acyl groups other than amino-acyl groups
isogroup70307_c6_g1	CCM2 Cerebral cavernous malformation 2
isogroup70376_c0_g1	HMCES Specifically binds 5-hydroxymethylcytosine (5hmC)- containing DNA in stem cells, suggesting that it acts as a specific reader of 5hmC in stem cells. May act as a peptidase
isogroup70365_c2_g1	DGKQ diacylglycerol kinase activity
isogroup70324_c0_g1	ARPC3 Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
isogroup70324_c0_g2	ARPC3 Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
isogroup70313_c0_g2	 Ribosomal protein S19e
isogroup70319_c0_g1	DNA2 DNA replication, Okazaki fragment processing
isogroup70311_c0_g4	EPN2 isoform X1
isogroup70364_c5_g2	MAP3K3 Mitogen-activated protein kinase kinase kinase
isogroup70386_c0_g1	mus-101 Topoisomerase (DNA) II binding protein 1
isogroup70386_c0_g2	mus-101 Topoisomerase (DNA) II binding protein 1
isogroup70345_c4_g1	EF1a-F2 This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
isogroup70345_c4_g2	EF1a-F2 regulation of response to stimulus
isogroup70345_c4_g3	EF1a-F2 regulation of response to stimulus
isogroup70345_c4_g4	EF1a-F2 regulation of response to stimulus
isogroup70344_c1_g1	TTI1 TELO2-interacting protein 1 homolog
isogroup70344_c1_g2	TTI1 regulation of TOR signaling
isogroup70344_c2_g1	GPR155 integral membrane protein
isogroup70344_c2_g2	GPR155 integral membrane protein
isogroup70321_c5_g1	FHIT Cleaves P(1)-P(3)-bis(5'-adenosyl) triphosphate (Ap3A) to yield AMP and ADP. Can also hydrolyze P(1)-P(4)-bis(5'- adenosyl) tetraphosphate (Ap4A), but has extremely low activity with ATP. Modulates transcriptional activation by CTNNB1 and thereby contributes to regulate the expression of genes essential for cell proliferation and survival, such as CCND1 and BIRC5. Plays a role in the induction of apoptosis via SRC and AKT1 signaling pathways. Inhibits MDM2-mediated proteasomal degradation of p53 TP53 and thereby plays a role in p53 TP53-mediated apoptosis. Induction of apoptosis depends on the ability of FHIT to bind P(1)-P(3)-bis(5'-adenosyl) triphosphate or related compounds, but does not require its catalytic activity
isogroup70316_c0_g1	SLC36A4 regulation of proline transport
isogroup70316_c0_g3	SLC36A4 regulation of proline transport
isogroup70316_c0_g4	SLC36A4 regulation of proline transport
isogroup70359_c11_g2	SYF2 mitotic G2 DNA damage checkpoint
isogroup70359_c12_g1	CRY2 negative regulation of glucocorticoid receptor signaling pathway
isogroup70359_c12_g3	CRY2 negative regulation of glucocorticoid receptor signaling pathway
isogroup70301_c5_g1	PPIL1 peptidyl-prolyl cis-trans isomerase activity
isogroup70317_c8_g1	UTP11L rRNA processing
isogroup70348_c1_g1	USP4 spliceosomal tri-snRNP complex assembly
isogroup70387_c6_g2	 Involved in the retrieval of endoplasmic reticulum membrane proteins from the early Golgi compartment
isogroup70387_c6_g4	RER1 skeletal muscle acetylcholine-gated channel clustering
isogroup70387_c6_g7	ASTE1 nuclease activity
isogroup70356_c0_g1	TOPORS DNA topoisomerase binding
isogroup70340_c0_g1	PLK1 protein serine/threonine kinase activity
isogroup70340_c0_g2	PLK1 protein serine/threonine kinase activity
isogroup70357_c4_g1	TUBB4B Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
isogroup70357_c5_g1	tubb4a Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
isogroup70357_c5_g2	TUBB4B Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
isogroup70390_c0_g1	NGRN Neugrin, neurite outgrowth associated
isogroup70338_c3_g1	RANGAP1 RAN GTPase activating protein 1
isogroup70396_c1_g1	RPS16 Belongs to the universal ribosomal protein uS9 family
isogroup70396_c1_g2	RPS16 Belongs to the universal ribosomal protein uS9 family
isogroup70396_c3_g2	rps-16 Belongs to the universal ribosomal protein uS9 family
isogroup70396_c3_g1	RPS16 Belongs to the universal ribosomal protein uS9 family
isogroup70396_c3_g5	RPS16 Belongs to the universal ribosomal protein uS9 family
isogroup70331_c0_g1	CCDC112 Coiled-coil domain-containing protein 112
isogroup70331_c0_g2	SNRNP40 Small nuclear ribonucleoprotein
isogroup70331_c0_g4	EIF1AD translation initiation factor activity
isogroup70314_c0_g1	 Transmembrane amino acid transporter protein
isogroup70373_c3_g1	COMMD4 nucleic acid-templated transcription
isogroup70303_c0_g1	 catalytic activity. It is involved in the biological process described with metabolic process
isogroup70325_c1_g1	 activation of NF-kappaB-inducing kinase activity
isogroup70325_c3_g1	 activation of NF-kappaB-inducing kinase activity
isogroup70363_c4_g1	ARL6 protein transport from ciliary membrane to plasma membrane
isogroup70347_c0_g1	BRMS1L Breast cancer metastasis-suppressor
isogroup70347_c0_g3	BANF1 Barrier to autointegration factor
isogroup70347_c0_g4	BANF1 Barrier to autointegration factor
isogroup70366_c5_g2	 cysteine-type endopeptidase activity
isogroup70366_c5_g3	 cysteine-type endopeptidase activity
isogroup70366_c5_g5	 cysteine-type endopeptidase activity
isogroup70399_c0_g1	BPIFC bactericidal permeability-increasing protein
isogroup70399_c0_g2	il4i1 L-amino-acid oxidase activity
isogroup70399_c1_g1	 complement activation, classical pathway
isogroup70360_c0_g1	RPL7A ribosomal protein
isogroup70360_c0_g2	RPL7A ribosomal protein
isogroup70371_c1_g3	ABHD16A abhydrolase domain-containing protein
isogroup70322_c1_g2	HMGCL hydroxymethylglutaryl-CoA lyase activity
isogroup70322_c2_g1	SLC17A9 Solute carrier family 17 member
isogroup33042_c0_g1	RPL22 structural constituent of ribosome
isogroup33050_c0_g1	Gfat2 glutamine--fructose-6-phosphate
isogroup33012_c0_g1	Gfat1 It is involved in the biological process described with carbohydrate biosynthetic process
isogroup33019_c0_g1	Tudor-SN Staphylococcal nuclease
isogroup37482_c0_g1	TXNDC8 glycerol ether metabolic process
isogroup37434_c0_g1	MSRB1 reductase B1
isogroup37409_c0_g2	 neurogenic locus notch homolog protein
isogroup37457_c0_g1	SND1 gene silencing by RNA
isogroup37435_c0_g1	SMG5 nonsense mediated mRNA decay factor
isogroup37470_c0_g1	 binding protein 4
isogroup81512_c0_g1	 K02A2.6-like
isogroup81574_c0_g1	WDR46 WD repeat domain 46
isogroup81571_c0_g1	PNPLA8 phosphatidylethanolamine catabolic process
isogroup81583_c0_g1	ALDH8A1 Aldehyde dehydrogenase 8 family, member A1
isogroup62360_c0_g2	 Cytochrome c oxidase subunit
isogroup62360_c0_g3	RPL35A structural constituent of ribosome
isogroup62330_c0_g1	AIF1 allograft inflammatory factor 1-like
isogroup62332_c0_g1	CAPN6 calcium-dependent cysteine-type endopeptidase activity
isogroup62391_c0_g1	 zinc ion binding
isogroup62376_c0_g1	 The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
isogroup62376_c0_g2	 The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
isogroup62376_c1_g1	 The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
isogroup62367_c0_g1	ANO4 intracellular chloride channel activity
isogroup62301_c0_g1	RAN snRNA import into nucleus
isogroup62324_c0_g1	CPSF6 cleavage and polyadenylation specificity factor subunit
isogroup62326_c0_g1	SOWAHA Ankyrin repeats (many copies)
isogroup62321_c0_g1	TCEB2 protein modification by small protein conjugation
isogroup62308_c0_g1	 metanephric macula densa development
isogroup62305_c0_g2	 Domain of unknown function (DUF3504)
isogroup62358_c0_g1	EEF1B2 Eukaryotic translation elongation factor 1 beta 2
isogroup62363_c0_g1	ANKRD28 Ankyrin repeat
isogroup62385_c0_g1	 Fumarase C C-terminus
isogroup62396_c0_g1	 catalytic activity. It is involved in the biological process described with metabolic process
isogroup62322_c0_g1	syngr2 Membrane-associating domain
isogroup62340_c0_g1	TGFB3 detection of hypoxia
isogroup62313_c0_g1	TBL1X F-box-like WD repeat-containing protein
isogroup62351_c0_g1	COX5A Cytochrome c oxidase subunit
isogroup62339_c1_g1	plb1 hydrolase activity, acting on ester bonds
isogroup62354_c0_g1	RPS25 ribosomal protein
isogroup62354_c0_g2	RPS25 ribosomal protein
isogroup62335_c0_g1	 receptor-associated protein-like 2
isogroup62335_c0_g2	 receptor-associated protein-like 2
isogroup62307_c0_g1	HADHA Belongs to the enoyl-CoA hydratase isomerase family
isogroup64218_c0_g1	PCSK6 positive regulation of smooth muscle cell-matrix adhesion
isogroup64264_c0_g1	 calcium ion binding
isogroup64201_c0_g1	PHB complement component C3a binding
isogroup64203_c1_g1	TOR positive regulation of cholangiocyte proliferation
isogroup64271_c0_g1	dpy-31 metalloendopeptidase activity
isogroup64267_c0_g2	LITAF Possible membrane-associated motif in LPS-induced tumor necrosis factor alpha factor (LITAF), also known as PIG7, and other animal proteins.
isogroup64256_c0_g1	PNPO pyridoxamine-phosphate oxidase activity
isogroup64251_c0_g1	 Sep15/SelM redox domain
isogroup64255_c0_g1	SLC15A4 histidine transport
isogroup64244_c0_g1	RBM26 mRNA processing
isogroup64234_c0_g1	SNX5 dynactin binding
isogroup64234_c0_g2	SNX5 dynactin binding
isogroup64207_c0_g1	SH2D6 Src homology 2 domains
isogroup64215_c2_g1	THBS1 Thrombospondin 1
isogroup64259_c0_g1	DLEC1 negative regulation of cell proliferation
isogroup64273_c1_g4	Cht4 It is involved in the biological process described with carbohydrate metabolic process
isogroup64273_c1_g7	Cht4 It is involved in the biological process described with carbohydrate metabolic process
isogroup64273_c1_g11	Cht4 It is involved in the biological process described with carbohydrate metabolic process
isogroup64273_c1_g14	Cht4 It is involved in the biological process described with carbohydrate metabolic process
isogroup64277_c0_g1	RPN2 protein N-linked glycosylation
isogroup64231_c0_g1	 PLAC8 family
isogroup64286_c0_g1	HIST1H1A nucleosome assembly
isogroup64221_c0_g2	DPYD dihydropyrimidine dehydrogenase (NADP+) activity
isogroup96569_c0_g1	 TBC1 domain family member 20-like
isogroup96516_c0_g1	 Ribosomal protein L10
isogroup96523_c0_g1	RBPJ positive regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment
isogroup96595_c0_g1	SEPT3 ATPase. Has a role at an early stage in the morphogenesis of the spore coat
isogroup96531_c0_g1	GTF2E2 transcription initiation from RNA polymerase II promoter
isogroup96535_c0_g1	 Putative tRNA binding domain
isogroup96029_c0_g1	LRRC74B Leucine Rich repeat
isogroup96095_c0_g1	FAM213B prostaglandin-F synthase activity
isogroup96096_c0_g1	MELK neural precursor cell proliferation
isogroup98811_c0_g1	RpL23A ribosomal large subunit assembly
isogroup98879_c0_g1	FAT3 homophilic cell adhesion via plasma membrane adhesion molecules
isogroup98895_c0_g1	VCL alpha-catenin binding
isogroup98828_c0_g1	PKM pyruvate kinase activity
isogroup10847_c0_g1	UNC13D regulation of dense core granule exocytosis
isogroup10885_c0_g1	 Major Vault Protein repeat
